draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
draw by threefold repitition | 5k2/8/8/3R4/8/8/K7/8 b - - 20 74
alpha2--alpha2 10 game(s) computed in 334940 ms
