white win | 1nb3kr/1r1pP1bp/pp1N4/1B1QN1B1/PPP3P1/8/8/4R1K1 b - - 2 26
white win | 3rk3/4Q3/4N3/1p1NP1p1/3Pn3/8/3b2rP/R2K4 b - - 1 54
white win | 2bk1Q2/1p1p2p1/7r/rB1NN1qp/pP1RP3/P5P1/2P4P/2R3K1 b - - 0 23
draw by threefold repitition | R7/8/8/8/3k3p/7P/8/6K1 w - - 31 105
draw by threefold repitition | 8/8/8/8/8/p3k3/8/1K6 w - - 22 198
white win | 1rkr3b/2p1N3/1pP2pp1/pP4Bb/P2PN3/3QP3/8/4R1Kn b - - 2 39
white win | 1nbk1b1r/1r1p1N2/1p3qp1/pB1N2Bp/2PQ1PP1/8/PP5P/2KRR3 b - - 0 20
white win | rnbq1b2/1p1p2pr/3k3n/pN2NQB1/3PP2p/8/PPP2PPP/RR4K1 b - - 0 17
draw by threefold repitition | rnb2b1r/p1p2p2/1p6/1B2Q3/4P1Pq/3R1P2/PPP4P/4k1K1 w - - 8 27
draw by threefold repitition | 1nb2bkr/1p5p/q2PpNpn/p3N3/P1PP1P2/4BQP1/1K5P/3RR3 b - - 8 29
white win | 2Q1kr2/4pp2/rp2B2p/3NN3/p2PP1p1/qP1R2P1/P4P1P/3K1R2 b - - 0 26
white win | b1r5/p2pR2r/np5p/1BpPBP1k/3P1P2/7Q/PP4PP/6K1 b - - 2 34
white win | 1nb2Q1k/r2p3p/3P4/p1p5/P3PBP1/4R3/7P/3R2K1 b - - 0 44
draw by threefold repitition | R7/3PR3/4P3/4R3/6p1/2k3P1/K7/8 w - - 22 91
black win | 2kr2nr/p1pb1p2/2n3pp/1pbpN3/8/2N5/PPPPPqPP/R1BQKB1R w Q - 0 12
black win | k7/6r1/6Pp/1B2N3/2PQ4/PP6/3r3P/RK3q2 w - - 1 78
white win | Rk5r/1Pq3bp/3r4/1p1QP1p1/1PpP2b1/2P5/7P/6KR b - - 2 38
black win | r2k1b2/1p4p1/8/p5P1/PP3P2/8/5R1r/nb3RKq w - - 6 35
white win | r1bqk1nr/p1pp1Qp1/8/nB2N1Bp/3PP3/b1N5/PPP2PPP/R4RK1 b kq - 0 10
white win | rnb2k1r/pp1p1Qp1/q1pNp2p/1B4B1/3PP1n1/8/PPP2PPN/R4RK1 b - - 0 12
white win | 1nQ1kb1r/p3p2p/1p4p1/2p1N3/2P1P1n1/4R3/bPPB1PPP/R1K5 b k - 0 23
white win | rnbqk2r/p1pp1Q1p/Bp6/4NpB1/1b1PP3/2N5/PPP2PPP/R4RK1 b kq - 0 11
white win | 2b4r/1p1p3p/1rpRkBpb/p1P1Nq2/P3PP2/2P1K3/2P4P/4R3 b - - 1 28
white win | 1r4n1/1qkQ1p1p/npr5/pbb1N3/P1P1P3/8/5PPP/R1R3K1 b - - 8 34
white win | 1n3k1r/2P1b3/b2BP1Rp/1B6/r1P1P1P1/4P3/6P1/5RK1 b - - 4 29
white win | 7k/8/1p2BP2/1P2N3/P4PP1/2P5/6K1/R6R b - - 0 52
