draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
draw by threefold repitition | 6k1/8/7p/7P/8/p3r3/pp2p1K1/5r2 w - - 10 49
alpha2--minimax2 10 game(s) computed in 932512 ms
