draw by threefold repitition | R7/8/8/2k5/8/7p/K6P/8 w - - 35 129
white win | 1nb2kn1/rpNp1R2/2p1p2r/pB2N1B1/1b1PP2p/1P1Q2P1/P1P4P/4R1K1 b - - 0 16
white win | 1r2bb1r/2p4p/p1N2kp1/PpPQ4/1P2PPP1/4P3/1BK4P/2RR4 b - - 1 29
white win | rnbqkbn1/p2pp1p1/3N4/1Bp2rB1/2PP3p/3Q1N2/PP3PPP/4RRK1 b q - 2 12
draw by threefold repitition | 8/3PP3/3N4/8/8/8/k7/6K1 w - - 19 137
white win | 1nb1kbr1/2N2pn1/3pp1p1/r1p1N1Bp/1ppPPP2/8/PPP3PP/R2R2K1 b - - 0 20
white win | r1bkr3/2Q5/1p1pp1pb/pB1Nn1pp/P2PP2N/2P3P1/1P3PP1/RR4K1 b - - 3 23
white win | 4R3/2R5/1p1pk3/1P1N4/p3P3/P7/8/6K1 b - - 3 70
white win | 1nk1qb2/2R1B1p1/1p2N2r/5Q1p/1pPPPPP1/8/1P4KP/3R2n1 b - - 4 26
white win | 2k3r1/1RQ1ppb1/p1B3pp/p2N2B1/3P4/2P2P2/2P2P1P/6K1 b - - 0 27
white win | 3r3r/ppp1Np1p/n1k3p1/6B1/PPPQR3/6P1/7P/2K1R3 b - - 2 28
white win | rnbk1Qnr/pppp2p1/5p1p/4N3/4P3/2N5/PPPP1PPP/R1B1KB1R b KQ - 0 7
white win | rn1k2Q1/p1qp4/b2p2Np/1Bp5/P1PPP1P1/8/1P3n1P/4bRK1 b - - 0 24
draw by threefold repitition | 1k6/4PP2/2P5/4P3/3B4/p7/P6P/1K1R4 b - - 12 85
draw by threefold repitition | 1nb1R2r/3p2k1/r2N2pb/pp1P2Pp/3P2P1/2P5/P7/3R2K1 w - - 11 34
draw by threefold repitition | 6R1/4P3/8/5k2/8/8/1p6/6K1 w - - 9 74
white win | rnbqk1n1/1ppp1Q2/3b4/pB2NpB1/3PP2p/8/PPP1NPPP/R4RK1 b q - 0 12
white win | 3R2nr/1pN5/2pNk2p/p5B1/P1P2P2/6P1/2P4P/6K1 b - - 2 41
draw by threefold repitition | 8/k3P3/8/8/8/4R3/K7/8 w - - 25 116
draw by insufficient material | 8/8/8/8/7k/8/1K6/8 b - - 0 152
white win | r1bq2nr/1pkp2p1/3Q4/pBP1NPBp/Pn6/P5P1/2P2P1P/R3K2R b Q - 2 18
white win | r1br4/3n2b1/p2qk1p1/4NpBp/1ppPnN2/PP4PB/2P1PP1P/R2QK2R b Q - 2 31
white win | 2b4r/8/1n1P1P2/3N2Bp/kQ2PP2/4R3/r6P/6K1 b - - 5 37
white win | r1bq1k1r/1p1pnQ2/n1p5/pB2Npb1/3PPP2/2N1R3/PPP3PP/R5K1 b - - 2 15
white win | 1n6/p6r/1p4Rk/1B6/2PB1N2/2P3P1/P7/6K1 b - - 0 64
white win | 7R/3r3k/b1p2Bpp/pBP2P2/6P1/3P4/R6P/4K3 b - - 2 42
white win | 1nQ3nr/3rp2p/2P1k1p1/pBpP2P1/P1N1P3/8/1P4PP/4RRK1 b - - 0 23
white win | r2qk3/p1pp1Qpr/b1n5/1Bb1N1Bp/3PP3/2N5/PPP2PPP/4RRK1 b q - 0 12
white win | 2k1Q3/R4P2/3p4/3P3p/2P5/8/8/6K1 b - - 0 74
draw by threefold repitition | 2R5/6PK/8/4N3/4B3/p7/8/2k5 b - - 25 88
draw by threefold repitition | 3R4/5P2/3B4/8/4k3/8/8/6K1 b - - 28 91
white win | 8/7R/p5p1/4R1Pk/1P5p/7P/p7/6K1 b - - 1 58
white win | 2b2r1k/3p1Q2/1pp3N1/1p1P2bp/4P3/r6P/1P1R3P/3R2K1 b - - 0 32
draw by threefold repitition | 1n6/4k3/8/1p6/1p6/8/K7/8 w - - 45 180
white win | 2b2b1Q/4RP1k/n1qp2N1/pB3Pp1/P7/2NP2P1/1P6/5RK1 b - - 2 36
draw by threefold repitition | 8/8/6p1/3k2P1/8/8/8/1K6 w - - 79 189
white win | rnbq3r/1pp1n1p1/3kp3/pN2N2p/3PPBP1/3Q4/P1P2P1P/b4RK1 b - - 3 12
draw by threefold repitition | 8/4PP1p/7p/k6P/3B4/8/1K6/8 w - - 47 102
draw by threefold repitition | 8/PP3P2/2N3p1/6P1/8/8/1k6/6K1 w - - 63 115
white win | r1b4r/p3q1pp/2BpkB2/3N2N1/3PPpP1/1PKQ4/P1P2P1P/R6R b - - 2 21
white win | rnb2b1r/ppkq1p2/3p2p1/1BpNN1Bp/3P4/8/PPP2PPP/R2Q1RK1 b - - 5 11
white win | 3Q2k1/5R2/4B3/1P6/1PR5/8/K6P/2b5 b - - 0 53
draw by threefold repitition | 8/P5P1/4R3/8/1k6/7p/7P/1K6 b - - 94 116
white win | 1r1k3r/pp1Bb3/b1Q1N2p/3P1p2/n3P1p1/PP1PP1P1/1B2R2P/4K3 b - - 0 34
draw by threefold repitition | 3R4/P3P3/4B3/6p1/8/3k4/8/6K1 b - - 23 112
draw by insufficient material | 8/3k4/8/8/8/1K6/6b1/8 b - - 0 244
white win | 1r2kb1r/p2Qn2p/bp2Bp1n/4N1p1/2p1PP2/2N1P1P1/PPPB3P/3RK2R b k - 0 17
white win | 5R1k/4R3/1p6/1P4Pp/3N1P1P/8/8/6K1 b - - 0 49
white win | rq2kb2/p1pB1p1r/3Q2pn/1p2P1Bp/4P3/2N2N2/PPP2PPP/RR4K1 b q - 0 15
draw by threefold repitition | rnb2bnr/p6p/1P4p1/2PBPPB1/8/8/3R2PP/3k2K1 b - - 14 38
50 game(s) computed in 1203543ms

white win | RQ1b4/1k1p4/1r6/1P1P1R2/1P2N1p1/6Pp/K6P/8 b - - 18 65
white win | rnb5/pp5p/3PkR1b/3qN1P1/3PP3/6P1/P1P4P/4R1K1 b - - 2 22
draw by threefold repitition | R7/4P1P1/3N4/8/8/8/8/2k3K1 b - - 20 98
white win | 2Q4k/5R2/3N4/1p1P4/1P1P4/6R1/1K5P/7q b - - 0 64
draw by threefold repitition | 8/2P1k1P1/4P3/p2PB3/P7/8/8/1K6 w - - 11 85
white win | 1n3b1r/1b2p1pp/rpP1Q3/p3B3/1P1kPP2/2N5/P1P3PP/4RRK1 b - - 2 22
white win | rnbk1Q2/pp1p3p/8/1BpNP3/1b1PP3/8/PPP3PP/R2R2K1 b - - 0 16
white win | rnbq1knr/pp1p1Qpp/4pp2/1Bp1N3/4P3/N7/PPPP1PPP/R1B2RK1 b - - 3 8
draw by threefold repitition | 6R1/1PP5/1P5k/3N4/8/8/8/3K4 b - - 12 111
white win | 3rqr2/2p2k1Q/1pBp1p1B/p2P2p1/PPP3b1/4PN2/7P/R1R3K1 b - - 0 25
white win | rnb3r1/1pN1BN1p/p1p1p2k/1q5n/1b1PP1Q1/8/PPP2PPP/2R2RK1 b - - 0 17
white win | 2k5/p1P1N1b1/2B1R1r1/1P6/2PP1Bn1/7p/5P2/2R3K1 b - - 0 42
white win | rnb2bnr/1ppp1p1p/3kp1p1/pB2P1B1/3P4/2N2N2/PPP2PPP/R2Q1RK1 b - - 0 8
white win | rn1q2kr/pb2bQ2/1ppp2p1/1B2N1B1/P1PPN1Pp/1P6/7P/6K1 b - - 3 22
white win | 5br1/4p2p/2N4n/8/3P1P2/BPk2RP1/4R2P/6K1 b - - 0 48
white win | 1n4R1/2rp3R/2pN4/7k/2PPP2r/P7/P6P/4R1K1 b - - 2 38
draw by threefold repitition | 6R1/8/8/8/5k2/8/8/6K1 b - - 68 149
white win | r1b4r/4b2q/1p2pPpk/pB4N1/P6Q/1P4P1/2P2P1P/R1R3K1 b - - 2 33
white win | 7R/3r3k/3N1Bp1/4P3/P2P1P2/6P1/P5Pp/K7 b - - 0 58
draw by threefold repitition | R7/1P6/6k1/4Q3/8/8/8/1K6 b - - 32 116
white win | 2Q2k2/6p1/p2N2P1/1p3P1p/4R3/8/8/R5K1 b - - 0 54
white win | r1bQ1k1r/pp3ppp/2p1p3/1BP1pnB1/4P3/2N3P1/PPPR3P/4R1K1 b - - 2 17
draw by threefold repitition | 6R1/8/8/3B4/7p/7P/8/3k2K1 w - - 79 110
white win | 8/6P1/2P1NP1k/Pp1PpP2/8/7R/8/4R1K1 b - - 2 83
white win | 4b3/2P5/8/p7/Pk1Q4/4R3/6K1/7n b - - 21 93
white win | 1nb2bnr/r1p1p2k/6Q1/pBq1P1pp/3P1N2/8/PPP2PPP/2KR1R2 b - - 0 20
white win | 2qkbR2/4P1p1/p1p1B3/3N2Pn/1pPPN1P1/4P2p/P6P/2K5 b - - 0 39
draw by threefold repitition | 7k/3PP3/3P2R1/4N3/8/8/K7/8 b - - 8 83
white win | Q1k5/2Prp1b1/4N2n/P1PP1Pp1/6p1/4R3/7P/4R1K1 b - - 0 46
