black win | r2q1rk1/p1p2p1p/5n2/1p6/QPbb1n2/B1P5/P6P/RN3BqK w - - 0 31
draw by threefold repitition | k7/2K5/8/8/8/8/4r3/r7 b - - 43 116
black win | r3k2r/4p3/b1n1q2p/2P2R1P/pp3p1B/2b1n3/P1pK4/1RN5 w kq - 8 29
draw by threefold repitition | 6k1/2K5/3r4/3b3p/3nn2P/3p4/2pP2p1/8 w - - 8 65
black win | r4r2/1b3nk1/Bp4p1/1N6/1b5p/1P1p3P/6q1/1R4K1 w - - 2 47
black win | 5k2/8/8/4n2p/7P/8/3r4/2q2K2 w - - 0 81
black win | r2r2k1/ppp4p/3q4/1P2ppp1/N2p2b1/1n1PK2B/1P3P1P/3RN1R1 w - - 0 28
draw by threefold repitition | 5k2/8/8/8/4b3/4K3/8/r7 b - - 13 115
black win | r1b1k2r/pp1pB2p/2npp3/7P/3q4/N2Kn3/1P2P1B1/R5NR w kq - 5 29
white win | rnbqkbnr/2ppp3/6Q1/pp6/3P1p2/P1P3p1/1P2PP1P/RNB1KBNR b KQkq - 0 10
draw by threefold repitition | 4rk2/8/P7/3bn3/7K/8/3pp3/8 b - - 14 66
draw by threefold repitition | 5k2/2K5/8/p3r3/P7/8/3p2p1/6r1 b - - 25 92
black win | r3r1k1/ppp2p1p/8/4n3/NP2bp1P/4n3/1P2Pp2/1RKq1B2 w - - 3 25
black win | 5k2/Kq5p/8/8/8/3n4/4p3/7b w - - 2 82
black win | r1bq1rk1/pppn2pp/8/3p4/1N1n1p1P/P1b4R/K3PPP1/r4BN1 w - - 0 17
black win | r1b2rk1/p6p/4p3/8/2ppnp2/2np4/3KBpPP/1q4NR w - - 4 39
draw by threefold repitition | r4rk1/p2n4/2p2p2/3b2p1/3pP2p/P6P/3r1p1R/2K2BN1 b - - 14 40
black win | r6r/2p2k1p/p7/1pb1n1BP/P1n5/2N2P2/7R/RN2Kqr1 w - - 0 35
black win | r3kB2/2p5/2np1q2/n2b4/Ppp4P/8/2RKr1p1/4r3 w q - 0 39
white win | rnbqkbnr/ppppp3/6Q1/4P2p/3P1p2/2P2NpP/PP3PP1/RNB1KB1R b KQkq - 1 8
black win | rnb1kbnr/ppp3p1/4p3/P3p2p/1P3P1q/8/1BPPP1pP/RN1QK1NR w KQkq - 1 9
white win | r4k1r/pbp2Q2/8/1B3R2/5P1p/NPP5/P2B2PK/R5N1 b - - 0 36
black win | 3rk3/pp6/8/8/3p4/1b1np2P/8/K1r5 w - - 0 42
black win | r2q1rk1/pp3ppp/2Q5/P5Nn/1P3pb1/N2n2P1/1P1Pp2P/R1B1KBR1 w Q - 1 16
black win | rnbqk1nr/pppp3p/4p3/8/PP6/5Np1/1B1PPbPR/RN1QKB2 w Qkq - 0 11
black win | r1bq1rk1/pp1p1ppp/2nP4/2p2P2/1b6/N3n2N/PPPpP1PP/RQ1K1BR1 w - - 1 13
black win | rR1q2k1/p1p4p/2n5/3pp2K/2Pb3r/N3p2N/PB5P/5B1R w - - 1 25
black win | r2q2k1/Rb5p/p2p4/P1p1b3/6n1/3PK3/1PP2r2/1Q5B w - - 4 33
white win | r2q1rk1/pRpb2pQ/3b4/3pp1N1/2Bn2n1/4P1P1/P7/3K3R b - - 0 24
white win | rnbqkbnr/p1ppp2p/1p6/7Q/P3P3/N2P2pN/1PPK1PpP/1RB2B1R b kq - 1 9
black win | 4rk2/7K/8/p2b3q/P7/3p4/1p1p4/8 w - - 12 86
black win | rN1q1rk1/p1p1n2p/3p4/1pb1np2/P3KN1P/1P4P1/5p2/R4R2 w - - 0 33
black win | r3k2r/pp3Npp/2n2n2/2bp4/3Q4/1PP3qb/P2PP3/R1B2K2 w kq - 0 22
draw by threefold repitition | 3r2k1/7p/7P/3b4/5K2/8/p2p2p1/6r1 b - - 27 78
black win | rnb1k2r/pppp3p/2q5/2b1p2n/5p2/N7/PP1PP2P/R1BQK2q w kq - 0 16
black win | r1b3k1/1p6/6N1/pP1n4/1q1p3P/K5p1/4rp2/R4B2 w - - 0 44
