black win | 3k4/8/p7/7p/7P/8/4r3/1K4r1 w - - 18 122
black win | 8/3k4/2n4p/1pPKrpnP/1P2P1p1/3R4/8/2q5 w - - 1 44
black win | 1r1k4/p7/2bp2p1/PP2Q1Np/4n2P/4p1P1/N2q2PB/3KR3 w - - 0 47
black win | rn4r1/p1pk1p2/2bp1b2/1P4pP/3P2PR/2NQp2B/1P2Nq2/1RB2K2 w - - 2 32
draw by 50 move rule | 1n5n/8/8/8/8/6K1/4k3/8 b - - 100 211
white win | 4rbn1/3n4/qPp1r3/2k3P1/3Qp1P1/P1P5/K5NR/1RB5 b - - 5 50
black win | 8/8/2n5/p7/P3R3/5k1K/5b2/7r w - - 12 116
white win | 1rk1Q3/pp3ppn/1P1b4/2B4P/2PpbP2/3P1PRN/P2N3P/R3K3 b Q - 0 30
draw by 50 move rule | 8/8/8/R7/5K2/3k4/8/8 b - - 100 216
white win | b1Q1k3/p3pr2/1r5n/2N5/2pPPP1P/1P1B3R/1P4P1/qRB1K3 b - - 4 40
black win | N4b1r/p4k1p/8/1P1bP3/3n1p2/7N/1P1Bq2P/1RQK4 w - - 0 27
draw by insufficient material | 8/8/6k1/8/3K4/8/8/8 w - - 0 232
white win | r3r3/k3P3/R1P3B1/2Nb3p/7p/1Rb5/3BK3/8 b - - 0 78
draw by threefold repitition | 4k3/8/6p1/1K4P1/8/8/8/8 w - - 69 177
draw by insufficient material | 8/1K2k3/8/8/8/8/8/8 b - - 0 194
white win | 3B1kR1/8/7N/1p3q2/p2Pbp2/5P1P/1b6/5K2 b - - 2 73
black win | 5b1r/r1pk3p/b7/p2npp2/P7/3BKPpP/3PN1P1/1bB2Q1R w - - 0 29
black win | 8/8/3P2k1/8/8/R7/K2n4/1q6 w - - 2 104
black win | 7k/8/2Pp4/8/1P3P1p/2nn4/5r2/b2K2NR w - - 4 59
black win | b7/1kr5/4p2b/Q3P1P1/P7/3n1P2/2q1N3/3K1RN1 w - - 0 60
black win | r4kr1/3b1p2/3b4/4B3/5P1P/8/7K/1N4q1 w - - 4 65
white win | r2qkbnr/pppbp1p1/2n3Qp/3p1p2/NP2P2P/8/P1PPKPP1/R1B2BNR b kq - 3 9
white win | 1n1bk1n1/1b1p2pN/5BQ1/q3Pp2/p1p4r/NPRP4/P4K1P/8 b - - 6 36
draw by 50 move rule | 1KQ5/8/5k2/8/8/8/8/8 b - - 100 290
black win | 2r1kb2/3bB1p1/p3p2r/1P1p2P1/4P3/3P1n2/P1q1NP1R/RK3BN1 w - - 2 36
black win | rn2k1nr/p3p1b1/1p3p1Q/2pP4/PNP5/5b2/1P1P1P1P/R1B1K1qB w Q - 0 22
draw by 50 move rule | 7K/n7/8/7b/8/8/2k3N1/5R2 w - - 100 161
white win | 3qk1Q1/2ppp3/b2b4/rP3p1p/p2P3N/P1n1B3/RP2PP2/1N2KBR1 b - - 5 26
draw by insufficient material | 2N2k2/8/8/8/8/8/5K2/7n w - - 0 132
black win | 5k2/r1ppn2r/1p3n1p/pb2p3/4Qp2/2P1P3/PP1P1P1P/R1B1Kq2 w - - 4 24
white win | 7Q/8/8/6R1/2B5/8/7k/1K6 b - - 0 158
white win | 2Q5/5k1R/1P4p1/2PP1rP1/B1N1p1P1/5p2/5K2/5N2 b - - 7 64
black win | 6k1/r4r2/1p4p1/4PP2/2P5/1p2P2p/5KqP/b3R3 w - - 0 51
black win | 1n3b2/4p1r1/3k2p1/p2p3p/P2pp2P/R1P1PP2/Br4P1/B3K2q w - - 0 32
black win | r4n2/1b1p4/pk1bp1p1/1p2n2R/PP6/5p1P/5P2/RN1q1K2 w - - 4 57
black win | 2B1Nb2/4k3/pp4pq/P1rKP2p/2r5/3p4/QB1P2PP/R4R2 w - - 0 42
black win | r1n1k1nr/8/pp4Np/2p2Q2/3pb2R/1P2P3/P1P3qB/R5K1 w - - 0 39
draw by insufficient material | 8/4K3/8/8/8/8/1k6/8 w - - 0 176
white win | 6n1/3rb1r1/nRk2p2/P2b2pp/p2P1B1P/6P1/2P5/2R2K2 b - - 4 47
black win | 3k4/rp2b2p/3p2pn/1P3pPP/2q1rP2/PK6/1Q1R1B2/RN6 w - - 0 63
draw by insufficient material | 6k1/8/8/3K4/8/8/6B1/8 w - - 0 192
white win | 6B1/8/3R4/k4p2/p1P2P2/P3P3/8/3KB3 b - - 3 87
draw by insufficient material | 8/2k5/8/8/8/8/8/K7 w - - 0 193
white win | 2N2rkB/5pQ1/2n1p3/P4bpP/RpP2P2/4bN2/2P1P3/3K2R1 b - - 4 42
white win | r4b2/1p2p2r/nNp1k1Qn/3p2p1/3P1p2/PqP2P1N/1P2P2P/1RB1KBR1 b - - 0 19
black win | 8/8/4k3/5q2/N4K2/8/5b2/8 w - - 16 160
white win | 1rbqkbnr/p1ppp2p/np6/5ppQ/4P3/PP5N/2PP1PPP/RNB1KBR1 b Qk - 1 6
white win | 3RBbn1/1p2pkr1/7p/6B1/1p1P4/r1P2pKN/1Pb4P/2R1R3 b - - 3 31
black win | N7/8/1R5p/8/3p4/kP1P2N1/8/K2r4 w - - 0 112
white win | 1r4qr/p1p2Q2/1pbkpn2/5Pb1/3p3p/BB1P3N/P1P2KP1/R3R3 b - - 3 24
black win | 1nbbq1r1/4k3/1p2P3/P3p1p1/2P1Pp2/P4Pp1/4KR2/3q2r1 w - - 0 69
draw by 50 move rule | 8/8/4K1R1/k7/8/8/8/8 b - - 100 220
white win | 4nk2/5Q2/3nP1pp/8/rB1RN2P/p7/P7/R1K2B2 b - - 4 54
black win | 8/6P1/3n4/3N4/4K3/2q3k1/8/8 w - - 4 138
white win | rq3bnr/p3p1p1/2pp1p2/QP5p/1P1P1Pbk/2B3PN/P2NP2P/R3KB1R b KQ - 0 18
draw by insufficient material | 8/8/8/1K6/8/8/2k5/8 b - - 0 246
white win | 7Q/1P6/1K3Qk1/8/8/7p/7P/8 b - - 2 104
white win | 1n1Q4/rp2npr1/pkp5/3p1Bpp/PP5P/2N3P1/2Pp3R/1R1K2b1 b - - 4 28
black win | b5k1/2b5/1P2p3/4P3/3p1n2/6p1/1R6/3r2K1 w - - 5 99
white win | 4r3/1p4br/2p2p1k/p3p2p/P1P5/1P1PB1Q1/1R5R/N2K1B2 b - - 0 38
white win | 3R4/7p/4k2P/p1P4K/8/B1P1RR2/8/8 b - - 0 79
draw by insufficient material | 6k1/7n/8/8/8/8/8/4K3 w - - 0 118
white win | 7b/2Q5/rp1Rkp2/1P2p2P/4P1pp/1p5P/n1P1KN2/7n b - - 1 62
white win | n4br1/rppQpkp1/4Ppbn/3p3p/p7/NP1PKNP1/PBP1B2P/1R5R b - - 0 22
white win | rnbqkbnr/p1ppp2p/5p2/4P1pQ/1p6/3B3N/PPPP1PPP/RNB1K2R b KQkq - 1 5
black win | rnbk2r1/7p/3pQ3/p5p1/1p1p1pP1/P6P/Rb2PP2/1NqK1BNR w - - 0 23
black win | 2r1k3/1rn3p1/p5b1/1p6/Pbpq2pP/3P1KP1/N1P1NPR1/1R6 w - - 0 47
black win | rn2kbn1/ppp1p1pr/8/N2p3p/P4p1P/3P1Pq1/1PP1PKb1/R1BQ1BNR w q - 4 11
black win | 1n6/2p2qr1/p2pP3/P5bp/1pP1p3/1P2nNkN/1B2Pp2/4RK2 w - - 0 45
white win | 3R3k/8/6BP/pr2p3/2p1P3/np6/4K3/8 b - - 1 122
black win | 3kr3/r6n/n4q2/p2B1K1p/6pP/2p5/Pb1NNP2/6R1 w - - 2 51
white win | n2N4/8/B7/5p1P/1k2pPnp/Q3R3/P6P/2R3K1 b - - 0 56
white win | N2R1kn1/4p3/6P1/3b1B2/6p1/p1B5/P1PRK3/1r6 b - - 5 61
draw by 50 move rule | 8/8/8/6r1/8/8/3K3k/8 w - - 100 225
black win | 1Q6/8/4n3/8/7N/B2k4/8/3K2r1 w - - 7 122
black win | 8/3b2rp/4r1pP/p1bk1p2/Pp1P1P1P/3R1n2/1N2q3/2B2K2 w - - 2 44
black win | 5b1k/1b2p3/r2qp3/p3P1pn/PP2KpP1/p1PB4/8/3Q1N2 w - - 2 38
white win | 8/4N3/P6P/8/1N6/1K6/8/1k4R1 b - - 10 135
draw by insufficient material | 8/5k2/8/8/8/7K/8/8 b - - 0 212
black win | rnb1k3/p1p5/2n3p1/1p2p3/N1P1Pq1P/P1bPK3/1P2B1PR/R5N1 w q - 4 25
draw by insufficient material | B7/8/5k1b/8/2K5/8/8/8 b - - 0 86
black win | 3N4/q1pk2b1/5p2/p5pr/2bnQ1P1/p1PPp2P/8/1r2K1R1 w - - 2 54
black win | 1k3bn1/6rr/4p3/4P1p1/PP1B4/7p/3P2qK/RN1B4 w - - 3 54
white win | 3k1R2/R7/7P/8/2K5/8/8/8 b - - 27 160
black win | 4kN2/1nr2p1p/B5rn/p2p2p1/P2bqP1P/1PN3P1/3P1K2/R1B2R2 w - - 5 38
white win | 4N3/1n4Qk/8/3P4/8/N7/6K1/8 b - - 0 125
black win | 7r/r2k3p/b2p4/p1p5/P1Kp1n1P/1Pp5/3BN3/1R3q1N w - - 1 44
white win | R1k5/8/2K5/8/8/8/8/8 b - - 29 232
black win | r1bb2kN/pp6/n2p2Pp/5p1B/5P2/PPP1q3/6RP/RNqK4 w - - 0 30
black win | 1k6/5b1n/2P4p/Np6/P1B1PP1p/B7/3r4/R1Kr4 w - - 0 54
draw by threefold repitition | 5k2/8/8/4K2p/7P/8/8/8 w - - 53 238
white win | 6R1/k6R/p7/P1p1Np2/8/2p4K/8/2r1q2n b - - 1 99
white win | 4k3/1N6/3B2B1/4b2P/8/1K4pB/5b2/8 b - - 2 129
black win | 6nN/3kb1Rp/1Q2p3/1P1P1p2/P1r4P/3n3B/4P3/2qK3R w - - 3 63
black win | 5bnr/r2npk1p/pppp2p1/5bp1/3PK3/4BPP1/PPP1P2P/R2Q1B1R w - - 1 18
black win | r2n1r2/1bNpp1k1/5p1p/pPpK1Ppn/2Pb3P/7N/R3PR2/5B2 w - - 2 30
white win | 5N2/1r6/2pqNn2/pp2n2b/P2P3k/R4P1P/1P2K3/4B2R b - - 3 54
black win | r4br1/p3k3/n1bp2Pp/1pp5/2KPpPn1/PPP3RB/N6N/R1BQ4 w - - 0 26
white win | 3R1k2/1R6/7p/7P/R1p5/8/8/2K5 b - - 0 111
black win | 8/8/8/8/8/5k1K/8/7r w - - 34 210
100 game(s) computed in 607603ms
