black win | rnb1kbn1/p1p1pp2/2p5/8/Pq6/2K5/8/1q6 w q - 2 28
black win | rnb1kbn1/pppp1p2/8/4K1q1/q7/8/8/8 w q - 3 30
black win | rnbqkbnr/pppp1p2/8/8/3q1P2/3K4/1q1PP3/8 w kq - 1 21
black win | rnbqkbn1/pppp1p2/5p2/1P6/2P5/5P2/P7/K1q5 w q - 2 21
black win | rnbqkbn1/pppppp2/8/1PP5/8/8/P2PP3/RNBQK1q1 w q - 0 15
black win | rnb1kb2/p7/8/4Pp2/7P/3p1p2/P4P2/2r2K2 w q - 0 27
black win | rnbqkbnr/p2q2q1/2pp4/3q4/8/8/2K5/3q4 w kq - 2 40
black win | rnbqkbnr/pppppp2/8/8/P7/B1QP4/1PP1PP2/RN3K1q w kq - 0 13
black win | rnbqkbn1/pppp1p2/3p4/8/4P3/1PPP1P2/P3K2r/RNq3N1 w q - 2 13
black win | rnbqqbn1/ppp5/2k5/8/5K2/8/5q2/8 w - - 2 34
white win | rnR1kbn1/p2pppp1/p7/8/P2PP3/8/3K4/r7 b q - 0 16
black win | rnbqkbnr/pppp4/8/1q2K3/q7/8/8/8 w kq - 4 37
black win | rnbqkbn1/p1p5/8/8/8/5q2/5K2/3q4 w q - 2 44
draw by threefold repitition | rnbq1bnr/pppkpp2/3q4/8/8/8/8/6K1 b - - 23 33
black win | rnbqk1nr/pqpp1p2/p7/b7/8/q7/8/K7 w kq - 6 36
draw by threefold repitition | rnbqkbn1/pp1pp1p1/1p6/8/8/8/2K5/4q3 b q - 13 42
draw by threefold repitition | rnbqkbnr/ppppppp1/8/8/8/q7/5K2/8 b kq - 29 33
black win | rnb1k1n1/pppp4/7r/6q1/P4q2/8/3b4/6K1 w q - 2 26
black win | rnb1kbn1/pppp4/8/8/PPPP3q/2R2p2/5P1K/3q4 w q - 1 22
draw by threefold repitition | rnbqkbn1/ppppppp1/8/r7/8/2K5/8/8 b q - 35 53
black win | rnb1k1n1/pp6/8/3q4/8/8/K7/2q5 w - - 2 62
draw by threefold repitition | rnbqkbnr/pppp4/1q6/8/8/7p/7P/3K4 b kq - 11 33
black win | rnbqk1n1/pppp4/8/P7/1b2p3/5q2/3BK3/r7 w q - 2 23
black win | rnb1kbn1/pp6/8/1p6/4p3/8/4Kq2/6q1 w q - 2 38
black win | rnbqkbn1/pppppp2/8/8/P7/8/1q6/3K3r w q - 2 24
