black win | 3r1k1r/ppp3p1/3q4/3ppp2/Pb5P/2PbPP2/1PnP1nP1/RNBK2NR w - - 3 16
black win | r4rk1/ppp2ppp/8/3pp3/1b1nn1bP/1P4P1/P1PPPq2/1RBQKB1R w K - 0 12
black win | 6k1/6p1/p5p1/2n1pp1P/rK1b4/7B/pp1p4/R7 w - - 6 45
draw by threefold repitition | 4rrk1/p6p/8/Pp1n1p2/1pp2pbP/3p2PB/N2KP3/q5NR b - - 9 30
black win | 4rrk1/8/p7/Pp5p/1P1pn2P/3b1p1K/8/7r w - - 4 44
black win | 3r1rk1/pp3ppp/8/3ppb2/1p5P/1Pq1B3/P2KPn2/R4BN1 w - - 8 23
black win | 4r1k1/p6p/8/R2pp3/2p1nrP1/1p3b2/1P5P/1N2r1KR w - - 0 29
black win | 1r4k1/7p/K7/4p1p1/r7/P5B1/4p1BP/R5N1 w - - 8 49
black win | 8/1p4k1/1P6/K2r4/2r1p2R/4Pp2/p1p2pp1/8 w - - 6 56
black win | r4rk1/ppp2ppp/8/2npp1q1/Bb1n2b1/3K1N2/PPPP1P1P/RNBQ3R w - - 10 12
black win | 6k1/7p/1P6/K6P/P2pn3/3b2p1/3b2p1/1r6 w - - 1 66
black win | 6k1/8/7P/7K/8/7r/p2p1p2/6r1 w - - 4 57
black win | r1bqk2r/pppp1ppp/8/4p3/P2nnP2/6B1/1PPbPKPP/R2Q1BNR w kq - 2 8
black win | r4rk1/ppp2ppp/5q2/3p4/1b2n1b1/NP4P1/P1PP2KP/R1B1n1NR w - - 4 13
black win | 4rrk1/pp5p/3q4/2ppppp1/P2b1P2/1P1Pn1P1/1B1QPn1P/R4BRK w - - 2 24
black win | 4rk1r/p1Q3pp/B2q4/1pppp1B1/4n3/NP1b3P/P7/R2K2r1 w - - 0 28
black win | 3r1rk1/ppp5/8/3pqp2/1b4PP/1P1b3R/P1PPnn2/RNK5 w - - 2 19
black win | r2q1rk1/ppp2ppp/5n2/3pp3/1n1b2b1/3K1PP1/P1PPP1BP/R1BQ2NR w - - 4 11
black win | 4r1k1/7p/4p2P/4p3/4n1P1/b3Pb2/2p4K/7r w - - 1 40
draw by threefold repitition | 6k1/1K2r3/8/8/8/5R2/7P/8 w - - 26 124
black win | r3k2r/ppp2ppp/5n2/2Q1p3/3n2b1/P3b3/3qPPPP/R2K1BNR w kq - 6 14
black win | r1b1k2r/pppp1ppp/8/4p3/1b1nnP2/8/PPPBPqP1/R2QKB1R w KQkq - 0 9
draw by threefold repitition | 6k1/8/8/7p/7P/1p6/1p3p1K/6r1 w - - 10 53
black win | 5k1K/8/8/8/7r/8/p1pp4/8 w - - 26 90
black win | 6k1/5r1p/7P/p7/P2p4/3n4/3P1pP1/RNN1rK1R w - - 1 34
draw by threefold repitition | 4r1k1/p7/P7/3bb1K1/8/4p3/1pppp1p1/8 b - - 34 66
black win | r1b1kb1r/ppp2ppp/2n5/3pp3/P3nP2/R1PP4/1P2KqPP/1NBQ1BNR w kq - 3 8
draw by threefold repitition | 2K2k2/7p/7P/p3b3/P7/1p1r4/1p1p4/8 b - - 19 88
black win | 6k1/p6p/P6K/7P/3r1b2/1p6/1ppp1p2/8 w - - 1 47
black win | 4rrk1/p6p/8/Pp2n3/7P/2Ppb3/1P3p2/3K1r2 w - - 0 39
black win | 4rrk1/ppp2ppp/2n5/1N1np3/4b1P1/1P2q2P/PB2K3/1R1Q1BNR w - - 3 15
draw by threefold repitition | 6k1/8/8/1K5p/3r3P/p7/pp1p1p2/8 b - - 55 84
draw by threefold repitition | 5k2/2K5/8/8/8/1p6/1pp3p1/8 b - - 31 86
black win | 4rrk1/p6p/8/Pp1pp1p1/Rb5P/1pP1qP1R/4P3/BN1K2r1 w - - 0 33
draw by threefold repitition | 4rrk1/7R/8/1p1n2P1/5p2/4pK2/1p1p2P1/5BN1 w - - 8 33
black win | K2r2k1/5rpp/p7/1pp1np2/7P/PP1pp1PR/2P5/R1BQ1B2 w - - 8 33
black win | 4Qrk1/7p/8/p1pp1p1P/5p2/pP1n4/P4P2/K2r4 w - - 0 31
black win | 3r2k1/4r3/B7/3n4/4b2p/R5p1/R3p1P1/1r4K1 w - - 0 43
black win | 5rk1/pp4pp/3q4/2pp3P/1b2n3/PPPP3B/3P1pK1/RNB3r1 w - - 4 22
draw by threefold repitition | 4rrk1/p4pBp/7P/3qp3/Pp1pn1b1/4n2N/1K2P3/R2r4 b - - 9 32
black win | 5rk1/pp3ppp/5n2/2pp4/1bPp2b1/N7/PP1Prq2/R1B2K1R w - - 0 17
black win | r2qk2r/ppp2ppp/7B/3pp3/Pb2n1b1/1P3P2/2nQP1PP/3RKBNR w Kkq - 0 10
draw by threefold repitition | 6k1/8/8/8/8/5K2/3r4/8 w - - 38 127
black win | r4rk1/ppp2ppp/8/1Nnppn2/6b1/P3K2P/1PPQPPP1/R4BR1 w - - 3 15
black win | 5rk1/ppp2ppp/2n5/4p3/6b1/4nP2/PB2P1PP/R1Kr1BNR w - - 3 16
black win | 4rrk1/7p/7P/P1ppp3/2p1np2/R4bB1/7R/2r1K3 w - - 0 28
black win | r2q3r/ppp2kpp/8/3pp3/Nb2nBb1/PPP5/2n2PPP/R3KBNR w KQ - 3 11
draw by threefold repitition | 4rrk1/ppp2ppp/3q4/3pp3/PbPnnPb1/N3P1PN/1Q1P3P/R1B1KB1R b - - 16 16
draw by threefold repitition | 5k2/8/4r3/1K2b3/4r3/8/pp4p1/8 w - - 16 76
black win | 1Q2rrk1/p6p/8/3qpp2/1nKp4/b3p1NP/P2B2P1/RN3BR1 w - - 1 29
50 game(s) computed in 2962650ms
