black win | 4rrk1/pp3ppp/B4q2/2ppp3/1bP1n1P1/5b2/P1nP1P1P/R1B1KQ1R w KQ - 0 15
black win | 4rrk1/pp3p1p/8/1P1p4/4bp1P/2Q3p1/p4qP1/3RKBR1 w - - 2 26
black win | 4rrk1/p6p/4p1P1/1P1qp3/2pnp1b1/4P1P1/4PPB1/2q1K1R1 w - - 0 26
black win | 4rrk1/ppp2ppp/3q1n2/3pp3/6b1/P1b1P2P/1PnQ1PPR/R1B1KBN1 w - - 0 13
black win | 6k1/7p/7P/8/6b1/8/pp3K2/4q1r1 w - - 0 91
black win | r1bqk2r/ppp2ppp/8/3pp2Q/3nnP1P/8/PPPb2P1/R2NKBNR w KQkq - 0 9
white win | 4rrk1/p5Qp/3q3B/1ppp1p2/1b1pn1b1/N1PK4/PP2NPPP/R4B1R b - - 0 16
black win | 4rrk1/ppp3pp/3q3B/3p1p2/1b1p2b1/N4P1P/PPP2nB1/2RK2NR w - - 2 15
black win | 4rrk1/pp5p/3N3B/P1ppp1p1/4n3/Q1PP1b2/2n1pP1P/R3K1NR w K - 1 21
black win | 4rk2/7p/2B5/8/3p3P/p5p1/P3p1p1/2q1K1R1 w - - 0 36
black win | 3r4/p2B2kp/4r3/2pq4/4n3/B1Pn1b2/PR2p2P/4K3 w - - 2 24
black win | r4rk1/ppp2ppp/8/3p4/1b1qn1b1/2NnP2N/PPPK2PP/4RB1R w - - 2 14
black win | 4rrk1/p6p/3q4/1p1pp3/3nn1bP/1PN1Q3/R2P2R1/2B1Kr2 w - - 0 25
white win | 4rrk1/1R4Qp/p7/P2q3P/3n1p2/5P2/2p1p1p1/6K1 b - - 7 39
black win | 4rrk1/p6p/P3p3/4q3/6pP/1Qn3p1/1pp3P1/4Kn1R w - - 0 35
black win | 1R2r1k1/7p/8/3pp3/P3n3/2p2nP1/2P5/6qK w - - 2 46
black win | 4rrk1/p6p/8/2pbq3/P1ppn2P/1PP3PR/4K3/1RB2q2 w - - 0 28
black win | 4rrk1/pp4p1/8/3p4/3bn2P/P3ppq1/1P6/3RKB1R w - - 0 24
black win | 4rrk1/pp3p1p/B4q2/2ppp1p1/1b4bP/4P3/PBnP1PP1/RN2KRN1 w Q - 0 14
black win | 4rrk1/8/6p1/3p3P/p2q4/8/pB2K1b1/6R1 w - - 0 37
draw by threefold repitition | 6k1/3r4/5K1p/7P/8/3p4/3p4/8 w - - 12 89
black win | 4rNk1/p6p/7P/2b1p3/P2pn3/1q3b1R/1p1PPp2/1R1K1B2 w - - 1 29
black win | 4rrk1/pp5p/8/1B1ppp2/1R1nbqp1/P1P4P/2P2PP1/3r1K1R w - - 0 24
black win | 4r1k1/7p/8/8/2q3pP/3bp1P1/rK2p3/8 w - - 2 44
black win | 4rrk1/5p1p/5q2/pN1pp3/3p2pP/2bb2PR/p4PB1/R4KQ1 w - - 2 25
black win | r2qk2r/ppp2ppp/2n5/3pp3/1b4b1/3P3P/PPP1QnPR/RNBK1BN1 w kq - 0 9
black win | 4r1k1/7p/3q3P/1B1np3/3n4/2pb4/p7/3K2r1 w - - 0 36
black win | 4rrk1/p7/7R/1ppn2p1/Q2n4/P2Kq1p1/1P1NP1P1/R1B2BN1 w - - 2 20
