draw by 50 move rule | 8/p7/P7/P7/8/8/1k3K2/8 b - - 100 199
white win | 1Q3k2/8/5K2/3P1p1r/8/1B1P4/8/8 b - - 0 90
white win | k1b5/Qn2rp2/4p3/pN1p3P/P7/1P2n2R/3pK1B1/n7 b - - 5 58
white win | 2N1B2R/R4nr1/3kp2p/1p1p3P/3P4/5p2/1p6/1K6 b - - 0 67
draw by insufficient material | 8/8/8/4K3/8/8/6k1/7n w - - 0 114
white win | 8/n7/k3pP2/3B3p/Q4b1R/8/5BR1/5K2 b - - 2 84
white win | 5R2/5R1k/6p1/6P1/4p3/r5P1/2b4K/8 b - - 9 79
draw by insufficient material | 1K6/1B3k2/8/8/8/8/8/8 w - - 0 237
draw by 50 move rule | 8/8/6b1/6k1/8/2b4K/8/8 w - - 100 175
draw by insufficient material | 2k5/8/8/8/8/6K1/1B6/8 b - - 0 83
white win | r2qkb1r/2ppp3/ppn2pQp/1P6/5P1P/N2P4/P1P1BK2/R1B3R1 b q - 0 17
white win | r4kn1/2pb1pBR/6p1/p1b3P1/PpP5/1P1PQN2/7R/4K3 b - - 2 37
white win | r1b1k1r1/n1RpQ3/1p2PBp1/1P6/2B1Pp1p/1P2n2P/2P1KPP1/6NR b q - 2 23
draw by insufficient material | 1B6/8/6K1/8/8/8/3k4/8 w - - 0 159
black win | 5br1/p1kbP2r/1p6/2p4K/P1P4R/7P/4Np2/8 w - - 1 54
draw by insufficient material | 8/7B/3k4/8/7K/8/8/8 w - - 0 158
draw by insufficient material | 8/4K3/8/8/6k1/8/8/8 b - - 0 141
white win | 5b1r/p1Pb4/6RP/B3pk1P/1r1p1p2/3P3B/7N/1nN1K3 b - - 4 49
draw by 50 move rule | 8/1K4k1/8/8/8/8/8/2r5 b - - 100 204
draw by insufficient material | 8/8/6K1/8/8/8/1k6/8 w - - 0 153
draw by insufficient material | 3k4/8/8/8/8/3K4/8/8 b - - 0 191
white win | 7r/2r2p2/p3p3/1Pnk4/3QNp2/R1pP4/P3NB2/4KB2 b - - 20 56
draw by insufficient material | N7/8/8/4k3/8/8/8/7K b - - 0 150
white win | 8/8/p7/P7/8/5K2/8/1R3k2 b - - 14 158
white win | kR6/n5b1/3Bb3/5P1p/8/8/B5K1/8 b - - 8 89
white win | 3kB3/3Q4/8/8/5K2/3b4/8/8 b - - 6 104
white win | 1n1b4/2n5/7p/4p2k/6QP/N1PR1P2/P5K1/5B1R b - - 3 57
draw by insufficient material | 6K1/8/8/8/7k/8/1n6/8 b - - 0 133
draw by stalemate | 2K5/q7/1b6/1p5p/7P/1q2k3/6b1/8 w - - 10 141
white win | 5k2/5Q2/8/3B4/6K1/8/8/8 b - - 22 158
white win | 1r2k1Rb/1P1bpp2/1R1p3r/3P3p/2p1P2N/B4P1B/P3K3/8 b - - 2 35
black win | 8/6br/P2kPpn1/1p1P1P1P/p1qK1R2/4BP1B/8/6NR w - - 0 51
draw by insufficient material | 8/8/2n5/8/8/7K/8/5k2 b - - 0 140
white win | 2qk4/rp2Q3/N1p1pp2/3p3r/1BPP3p/Pp1bP2N/5PPP/R3KB1R b - - 5 29
draw by insufficient material | 2K1k3/8/8/8/8/8/1B6/8 b - - 0 247
black win | 8/5k1K/1n6/8/7q/8/8/8 w - - 28 184
white win | rnbqkbnr/1p1pp3/p1p2p1p/6pQ/P3P3/7P/1PPP1PP1/RNB1KBNR b KQkq - 1 6
draw by 50 move rule | 6r1/8/1n6/8/3k4/7K/8/8 b - - 100 246
draw by 50 move rule | 8/b7/8/8/2N3BK/8/8/1k6 b - - 100 235
white win | 2k1R3/1bpp4/1rP5/3P4/pprN4/5Pn1/1P4K1/2Q4B b - - 3 64
white win | 7B/6Qk/8/8/q6p/1p6/P4b2/K7 b - - 0 103
white win | R7/8/2Q5/k1P3P1/1p6/8/4K3/2r5 b - - 2 97
white win | 7r/2p2B2/1r4R1/1p1Rk3/4pb1P/2K5/2N5/1N6 b - - 18 66
white win | 1b3Q1k/1bB4r/1p2p3/6P1/1p1p4/3r4/4KR2/8 b - - 0 61
white win | B2kR3/8/PPP5/7N/3n4/4R3/R7/5K2 b - - 0 82
draw by 50 move rule | 8/B4N2/8/8/7k/8/8/2K5 b - - 100 221
white win | 8/8/8/3Q4/3kB3/7B/4K3/1N6 b - - 20 145
draw by 50 move rule | 8/8/1r6/7p/5k1P/8/6K1/8 w - - 100 167
white win | 1nrkR3/p4n2/5P2/1BN2qp1/Pp6/2b1ppB1/2R5/1K6 b - - 0 54
white win | 4QR2/8/5k2/p1p2Np1/2P1n2r/3r4/K1B5/8 b - - 2 66
draw by insufficient material | 8/8/5K2/8/6k1/8/B5n1/8 b - - 0 190
white win | 5R1k/Q7/8/8/R1p4p/8/8/3K4 b - - 5 120
draw by 50 move rule | 8/1k6/1r6/8/8/3N2K1/8/8 w - - 100 219
white win | r3k1Q1/pbbp4/n2P1ppP/4P3/5P2/P1K5/8/2B1N1R1 b - - 2 53
white win | 5b2/kQ6/8/4PN2/7p/1Q3P1P/4R1BR/6K1 b - - 2 70
white win | r7/pqp1n1pQ/8/n6k/P1b3NP/1P2Pp2/8/3KBNR1 b - - 0 41
black win | 5k2/6r1/2P4P/p4pp1/2n5/2P1qpR1/5Kb1/RB6 w - - 1 69
white win | 8/p7/R7/4Rk2/2N2npP/8/1r1b1b1K/8 b - - 9 67
white win | 7r/7p/2bk3p/p1N1Q2P/1b6/8/3n3K/4R3 b - - 10 70
white win | 5bQ1/8/rp3kp1/1B1pppBP/PpP4P/5K2/1R4N1/2R5 b - - 4 46
draw by stalemate | 8/8/8/8/7p/5n2/1r6/k4K2 w - - 0 155
black win | 1n5b/8/8/5k2/8/q4K1p/6rP/8 w - - 2 100
draw by 50 move rule | 8/6k1/2b5/3p4/3P4/2B5/6K1/8 w - - 100 179
white win | b2k2R1/Q7/4p3/3pPp1p/pp3b1p/q7/RN1P4/1NB4K b - - 3 39
white win | 2k3R1/r7/2PB3P/8/8/4p3/4n2K/1nr2B2 b - - 6 96
draw by insufficient material | 8/2k5/8/8/8/8/8/4B2K w - - 0 176
draw by 50 move rule | 8/1k6/8/4KN2/2N5/8/r7/8 w - - 100 192
white win | 1rq1kn2/2Q2prn/3N4/p3p1Pp/3PB1P1/8/1P1P1P2/R1B2KNR b - - 0 37
white win | Q2k4/1R4B1/3p4/1P1P3p/1r1p1p2/K7/1R3b2/8 b - - 0 75
white win | 4R3/2R3k1/5p1p/5P1P/PP6/8/2K5/7B b - - 4 81
white win | 1n4k1/6Q1/1p1bp3/2r1BpPK/5Pp1/P1q2BN1/b3N2R/5R2 b - - 2 59
draw by 50 move rule | 8/5n2/3k4/5Kp1/5bp1/8/8/8 w - - 100 184
white win | 2Qkq3/r3b1p1/1Npp1p2/p2B4/P4P2/1Pn1B3/R1R5/4K3 b - - 6 54
draw by insufficient material | 1k6/8/8/1n6/6K1/3B4/8/8 w - - 0 144
draw by 50 move rule | 4R3/k6b/4K3/6P1/6r1/8/8/8 w - - 100 167
draw by insufficient material | 3B4/8/8/8/8/7k/8/5K2 b - - 0 132
white win | r1bqk1r1/p2p1Q1p/1ppb1p2/8/1nB2p1P/PPNPP3/2P1N1P1/1RB1K2R b Kq - 0 14
draw by insufficient material | 8/8/k5b1/8/8/8/5K2/8 b - - 0 236
draw by insufficient material | 6K1/8/4k3/8/8/8/8/8 w - - 0 227
white win | r1n1k1Q1/2R5/p1pB4/np5p/1P2P2P/1R6/3rPK2/b1N5 b - - 0 52
white win | 8/6R1/R1k2p2/3p2r1/1Kp5/8/6n1/1b2Q3 b - - 2 77
draw by insufficient material | 8/8/8/7k/K7/8/8/8 w - - 0 200
white win | b3kb2/3Q1n1r/4B3/2p2p2/3p1P1p/2P3r1/1nR2BP1/6K1 b - - 2 48
draw by insufficient material | 8/4k3/2n5/8/1N6/8/8/K7 w - - 0 210
draw by 50 move rule | 5b2/8/8/8/8/6k1/1K6/4b3 w - - 100 228
draw by insufficient material | 8/8/8/8/8/8/K2k4/8 b - - 0 251
white win | 4k3/3pQ3/2p3N1/3P1p2/R1P2p2/4P3/3N1K2/7R b - - 0 47
white win | 7Q/p1p5/7k/P4Pp1/4rP2/Np6/4NnK1/3R4 b - - 0 56
white win | 2b2Qkr/b1pp3q/6P1/r2Np1Pp/PB4nP/5B2/R1P1P3/4K1R1 b - - 5 36
white win | k4R2/6R1/p6P/P7/2P1P1pB/2K5/r7/8 b - - 4 71
white win | 8/8/P3p1p1/2Rk2p1/1rp1N1Pp/p3K2P/6b1/N4B2 b - - 4 53
white win | 1r6/p3b3/P1Qk2p1/1p2p1p1/2R1Kp2/7n/7P/8 b - - 3 60
black win | 8/8/2N4p/6k1/8/4r2K/p2q4/8 w - - 1 150
draw by insufficient material | 2k5/8/8/K7/8/8/5N2/2n5 w - - 0 223
draw by insufficient material | 8/8/8/8/2k5/8/4K3/8 b - - 0 272
white win | 7k/1pR5/6NN/2p4P/P2p4/1q6/3r4/5K2 b - - 8 81
white win | r2k3r/1p1Q1n2/1P4pb/2pp4/B1P4p/3pPN1P/P4K1B/5R1R b - - 2 56
white win | 3q4/8/8/2R5/4k1R1/1P3N2/4K3/8 b - - 5 70
white win | NRr5/8/r2kQ3/5P2/p2B3P/3P4/6Pp/N2b3K b - - 5 76
white win | 4k1N1/4Q3/pP6/3P3b/8/5p2/8/5K2 b - - 8 121
100 game(s) computed in 390441ms
