black win | r5n1/1b6/n1qp1k1p/ppP4p/5P2/b2p1KP1/P3r3/R2Q1BN1 w - - 0 39
black win | 6Q1/1b2n3/7k/5P2/7p/NB4nP/nP6/2qK4 w - - 2 45
white win | 4kr2/3n1p2/1b1N2p1/3p2BP/2R1P2P/2pQ4/2R5/4K3 b - - 5 47
black win | 2B5/8/2P4p/8/2p3p1/p7/4r2k/K5r1 w - - 4 108
black win | nk3b2/4pppr/4P2p/2rpK2P/p1PNq3/B7/3P1P1P/5R2 w - - 1 33
black win | 2kr2K1/4q2p/6pP/8/7P/8/8/B7 w - - 16 115
black win | 1B6/8/4r3/2k1b3/8/1R1n3p/p7/3q1K2 w - - 0 86
black win | 7r/4k3/p3P3/7K/3p3p/2p5/4B3/b2N2r1 w - - 1 51
draw by insufficient material | 8/8/b7/8/8/1k6/5K2/8 b - - 0 191
black win | 6n1/pb2Q2r/5P1k/1pNpp2p/P4P2/1P2K2q/R1r1PB2/6q1 w - - 0 35
white win | 3k2Q1/1R6/1r6/8/K7/5B2/4p1N1/8 b - - 0 106
black win | 2b1k2r/r3p2p/2n5/BpPp1pn1/8/P1N4K/RP2PbPP/3Q1B1R w k - 0 19
white win | 2Q5/8/2k1pN2/1rP1P1P1/1nP5/3pB2P/5R2/1b4K1 b - - 6 68
black win | 6Q1/1p6/2p1bb1R/2n1kP1N/8/3qK3/P1r5/2B3N1 w - - 1 38
white win | 8/8/1p3R2/r4k1P/4p1NK/p1p1P3/8/8 b - - 2 100
black win | r5nr/p1p2k1p/b2pp3/q1b5/3P1P2/1NK3BP/nPP3P1/1R4NR w - - 6 25
black win | 4n1r1/p4k1p/b2B1q2/2P2K2/Ppp1PpnP/8/2P2P2/3NR3 w - - 16 50
white win | rn3rk1/3q1p1Q/pP3bp1/4p3/6b1/2pNp1P1/RPP1BP1R/2BK4 b - - 0 23
black win | rnQr4/Npp2p2/p4Bkn/1R6/6P1/PP2b3/4Pp2/R3KB2 w Q - 0 26
white win | r6r/5R2/k7/p1P1B1Pp/5P1P/3B4/4R3/6Kn b - - 0 59
white win | 2r5/3p2Qk/3P1B1p/p1p5/b1P2P2/p5PP/2Rn1KB1/6R1 b - - 2 55
white win | 8/1p5r/1Pk3R1/p2R4/P1p1P3/8/2NK4/2B5 b - - 8 80
white win | 2r1kr2/N2Q4/1pn1P2b/1B5P/5ppP/3P4/5K2/NnB1R3 b - - 3 46
black win | 2n1kb2/1r2p3/pp3ppP/1N1PB3/P1N2q2/4Q2b/1P4rP/1R4KR w - - 0 32
black win | 3B4/8/p5N1/P4k2/7P/8/5r2/3r3K w - - 0 115
white win | 3k1Q2/6Q1/8/5p1p/5P2/2PN3P/4p3/2R1K3 b - - 0 67
white win | 3Qk1nr/4ppbb/p1N5/Pp6/1q4Pp/N1P5/1B1PB2R/R4K2 b - - 3 28
white win | 4N1Q1/r6k/1R6/p3p2n/P1p5/b2Pp2P/4B1Rn/3KB3 b - - 5 57
draw by insufficient material | 8/1k6/6n1/8/8/4K3/8/7N b - - 0 127
black win | rn3kn1/6N1/2pbb2r/1p1pBp2/1PP2Pp1/qKNp3P/P3P1B1/R6R w - - 0 23
draw by insufficient material | 1B6/8/1b6/k7/8/8/3K4/8 b - - 0 165
draw by insufficient material | 8/4B3/2K5/8/8/6k1/8/8 w - - 0 234
white win | b4Rk1/2r3pr/1P6/p6P/P1pp4/BR1N4/3P3K/8 b - - 0 57
white win | 7k/1P3N2/8/B2p4/p3B1R1/6P1/8/2K2b2 b - - 2 62
draw by insufficient material | 8/k7/8/8/7K/8/8/6b1 b - - 0 114
black win | rnk5/p3pp2/bpp2n1b/3pK2r/P1PPP1p1/RP5B/7P/1N1Q2qR w - - 6 23
white win | b7/2Q5/8/k3p1N1/pp2Pr1p/1P3RP1/r7/B3RBK1 b - - 2 53
white win | rBN1kb2/pp1Qpp1r/4P1pp/2p5/2P4n/5N1P/P3PP2/3RKB1R b Kq - 0 21
black win | r3k1r1/4p1bp/n4p2/pp1NB1p1/1P6/P3PnP1/3q1P1P/Rb1KR3 w - - 0 27
black win | 4k2r/rb2pp1p/n5pb/p1Np3n/2RPP2P/1P6/1BPq2PN/3K1B1R w k - 4 26
draw by insufficient material | 8/7k/8/5K2/8/8/8/8 b - - 0 174
white win | 2R5/4k1R1/rppp3B/1P3K1P/P1P1p3/3P3B/7P/8 b - - 2 42
white win | 6QN/4b2k/2b4p/8/p1p2P1B/1pp5/7p/1N3KR1 b - - 0 49
black win | 4rk2/7p/ppnp3P/1PP1pb1P/4P3/2BPn3/3N2r1/RNq1KR2 w Q - 1 45
black win | rn2k2r/2p3b1/p4P2/Pp2p2p/6p1/1p1P3b/2q5/2K2B2 w - - 0 51
black win | 7n/8/3k3r/1P6/p4nP1/1B6/3N3K/4q3 w - - 2 74
black win | r4kr1/pbRn2p1/3p4/4P2p/1b2p1pP/3P1qPR/PP2K3/3Q4 w - - 2 27
black win | rnbqkb1r/ppppp1pp/5p2/8/2P1P3/3n1P2/PP1PN1PP/RNBQKB1R w KQkq - 1 6
black win | 1r2kb2/4p3/b2p3n/N1P3P1/1P1PPn2/1P6/1B2q3/RB2K3 w - - 7 44
white win | 7R/8/8/8/7k/P4K1N/8/8 b - - 17 127
black win | r7/p3B3/1p1p2k1/1PqP4/P4P2/N4b1P/P7/2q2K2 w - - 0 46
white win | 4Q1nr/2r3p1/b2p3p/1p1k3P/1Pp4K/B7/P1P1P3/3R1NNR b - - 4 33
white win | 3R1k2/8/8/3p1NN1/P2P4/K7/7B/8 b - - 56 132
white win | 2rk2r1/2pb4/p4Q1b/Pq1p1p1p/3N1PpP/1nR5/4R1B1/1N1K4 b - - 2 50
black win | rnb3r1/p3k2p/7b/4pP2/1ppqK1pP/NP4P1/P1P1PP2/1RB2BNR w - - 1 20
black win | r1b2bn1/3kpp2/p2p2pr/1p5p/PB1q3P/5Pn1/N1PPK3/RN1QR3 w - - 0 20
white win | 5Bk1/1b4Q1/8/8/1p6/4r3/2K5/8 b - - 3 114
draw by insufficient material | 8/1B6/8/8/5k2/8/8/3K4 b - - 0 200
black win | 2r1Bb2/4n3/1p1p4/p2k3p/P2r4/1PB1p2p/4Kq2/2R5 w - - 6 53
white win | 5b2/7n/p4p2/P1kQp3/1p1nKNr1/1rP5/6B1/8 b - - 7 65
black win | r1b1kbnr/p1pp1ppp/n3p3/1p6/2P3Pq/N4P2/PP1PP2P/R1BQKBNR w KQkq - 1 5
