white win | rnb1qrQ1/8/p1pb1p1p/4k1P1/1p1PPp2/1P2p2P/PRP1N1B1/2BK2N1 b - - 0 30
white win | 6nr/1B2r1pq/2p5/P2PN2p/4k2R/4N1B1/1n3PP1/K4R2 b - - 5 52
black win | 3kbb1r/4p3/4Pp2/p5P1/p6P/1qp2N2/2K4R/1rn3B1 w - - 4 48
draw by insufficient material | 8/5k2/8/2n5/6K1/8/8/8 b - - 0 129
white win | 1nbqkbn1/r2pp1pr/pp3pB1/8/QPp2P1P/2P1P1pR/P2P4/RNB1K1N1 b Q - 2 14
white win | r3Bb1r/pb3B2/1pnk2Q1/1PpN2B1/2P4p/N5P1/P1K2P1P/R3R3 b - - 2 31
draw by insufficient material | 1N6/8/8/8/8/8/k5K1/8 b - - 0 207
white win | 2k4R/8/2K5/8/8/8/6n1/8 b - - 54 147
white win | rnbk1Qnr/1ppp2p1/p6p/2P1p3/8/4P3/PP1P1PqP/RNB1KBNR b KQ - 0 8
white win | kb6/p7/1nB4B/1p3B2/1P2P1Pp/b1K4N/1P6/5b2 b - - 2 55
draw by insufficient material | 7N/8/8/8/6K1/8/2k5/8 b - - 0 189
draw by insufficient material | 2bK4/8/8/8/8/7k/8/8 w - - 0 192
draw by insufficient material | 8/1N2k3/8/8/8/8/2K5/8 b - - 0 192
white win | 8/n3R3/6b1/1PK1k1P1/4Pp1R/2p5/4B3/R1B3N1 b - - 2 60
black win | r1b1kbnr/p1pp1ppp/n7/1p2p3/5PPq/1P5P/P1PPP3/RNBQKBNR w KQkq - 1 5
draw by insufficient material | 8/7k/8/8/7K/8/8/8 b - - 0 117
black win | 1r1qk1nr/ppp3p1/1B1Qp1P1/n2P1p2/b4b1p/3P3P/P3PP2/3KRBNR w - - 5 23
white win | 2nR2k1/4Q3/8/5ppp/p7/7r/8/5K2 b - - 4 92
draw by insufficient material | 8/8/8/2k5/8/8/6K1/8 w - - 0 193
white win | R7/1k1R4/p5P1/P4P2/4B3/2pp4/7K/8 b - - 0 88
white win | 1R3kn1/3p4/3N1P2/2P4P/3K2p1/P1Q5/2b5/2B3r1 b - - 0 58
white win | r6B/1n1B1kQ1/p3b3/Ppp3pp/8/3P1P2/1PR4P/1NK4R b - - 4 44
white win | rnq2b1r/8/p3p2n/PPpkPpP1/2B2Pb1/2P3p1/3N4/R1B1N1KR b - - 0 33
white win | 2Qr4/k7/7p/2B4P/p7/2K2p2/3n4/8 b - - 2 91
black win | B6b/3P4/4bk2/4p1p1/2P2r2/7K/8/6q1 w - - 3 94
