draw by threefold repitition | N1R5/8/4k3/7B/8/1P1p4/1P1P1PPP/1NB1K2R w - - 34 61
white win | 7R/7N/R7/3k1Q2/8/1P2P2B/1P1PP1KP/1NB5 b - - 6 36
draw by threefold repitition | N7/4k3/8/8/p7/N3P1RP/PP1PPKBP/1RB5 w - - 20 43
white win | Q4k1r/5pp1/2N5/2p5/1p2K2p/2b5/PPP1PPPP/RNB2BR1 b - - 1 16
draw by threefold repitition | 8/8/1k6/8/8/1PP5/PPQ1PKBP/R7 w - - 20 87
draw by threefold repitition | 8/2k5/8/8/2B5/3P1Q1P/PP1P1P1P/R1B1KR2 b Q - 28 83
draw by threefold repitition | 8/3k4/8/8/1N6/N7/PPPKPPPP/R1BQ1BR1 w - - 13 42
white win | 2k4B/2Q5/8/1N6/5P2/8/PKPPPPP1/R4B2 b - - 2 42
draw by threefold repitition | 8/8/6R1/2k5/8/1P5P/RP1PPPBP/1NBQK3 w - - 15 45
draw by threefold repitition | 7N/8/3k4/8/1p4P1/8/PPPPPPK1/RNBQ4 w - - 32 53
white win | 8/r1q1p1Q1/1p6/2p1n2k/P7/4P1P1/PP2P1P1/RNB1KB1R b Q - 2 48
draw by threefold repitition | 8/8/8/kp6/5K2/8/PPPPP1PP/RNBQ1BR1 w - - 21 51
draw by threefold repitition | 8/8/4k3/8/8/N3P2P/PPPPP2P/R1BQKBR1 w Q - 20 62
white win | 8/4Q3/8/8/7k/NP1P3P/PP1PBPKP/1RB5 b - - 2 42
draw by threefold repitition | 8/8/1k6/4N3/6R1/NP1P3P/PPQPBPKP/R1B5 b - - 18 68
draw by threefold repitition | 1R6/8/8/3p3P/2k5/5K1B/PPPPPPQP/R1B5 b - - 10 39
black win | 4k2r/5rpp/8/N4p1b/6n1/8/PPPPPbPP/RNBQKB1R w Qk - 0 17
white win | r5kR/1p6/p1p2Q2/8/4p3/NP6/PP1PPPP1/R1B1KB2 b Q - 2 20
draw by threefold repitition | 4k3/1R6/8/1P6/P4P2/N3P3/PPKP2P1/1RB5 w - - 9 73
white win | 6nr/5Q1k/p6p/5pp1/2P5/1P2P3/PP1P2PP/RNB1KB1R b Q - 2 31
draw by threefold repitition | 1N2k3/N7/6R1/8/8/6P1/PPPPPPP1/1RBQKB2 b - - 28 42
white win | 2r5/3r4/2N1p1pp/3p4/k1P1Np2/3P4/1P1P1PPP/2BQKBR1 b - c3 0 47
draw by threefold repitition | 8/3k4/8/8/P3PP2/1Q2P3/PP1P2P1/RNB1KB1R w Q - 33 73
draw by threefold repitition | 8/8/1N6/1p2k3/8/3P3P/PPPP1K1P/RNBQ1BR1 w - - 15 43
draw by threefold repitition | 8/5k2/8/8/7B/8/P2PPPPP/RN1QKB1R w Q - 14 61
white win | 6Qk/8/4B3/8/p7/N4K1P/PPPPPP1P/R1B5 b - - 6 41
draw by threefold repitition | 8/8/N5k1/8/7p/4P2P/PPPPPKBP/R1BQ4 w - - 50 61
white win | 3k2R1/R7/8/7N/2P5/3P3P/1P1P1P1P/1NB1KB2 b - - 2 34
draw by threefold repitition | 8/8/1k5N/8/Q1P1B3/7p/PP1PPP1P/RNB1K2R w Q - 25 50
white win | 8/8/4Qk1B/5P2/P3P3/N1P5/PP2BPK1/R7 b - - 8 57
draw by threefold repitition | 8/7Q/1k6/8/6B1/N3P3/PPPP1KP1/R1B5 w - - 10 70
draw by threefold repitition | 8/8/6k1/8/N1P5/N4P2/PPPPBPK1/R1B4Q w - - 35 59
white win | 5k2/5Q2/PN6/6N1/8/8/PPPP1PPP/R1B2KR1 b - - 6 53
black win | r1b2b2/pp1nk3/5p1n/2pB4/7N/7P/PPPPPP1P/RNBQK1r1 w Q - 1 17
draw by threefold repitition | 8/6kp/7N/4p3/5p2/N7/PP1PPPPP/R1B1KB1R w Q - 10 36
draw by threefold repitition | 4k3/R7/Np4p1/8/5P2/P5P1/P1PPPKP1/R1BQ1B2 w - - 9 30
white win | k6B/p7/N7/8/4QP2/p2P4/P1PP2PP/2KR1BR1 b - - 10 51
draw by threefold repitition | 8/5k2/8/5p2/N6p/4P2P/PPPPP1KP/R1B4Q w - - 10 44
draw by threefold repitition | Q5R1/8/8/8/2k5/4P2B/PPPPPK1P/R1B5 b - - 11 48
white win | 5Q1r/p1pk1p1p/4p1pn/4N3/6b1/8/PP1PPPPP/RNB1KB1R b Q - 2 18
draw by threefold repitition | 8/8/5R2/7k/3P4/N7/PPPP1KPP/R1B5 w - - 9 60
draw by threefold repitition | 8/8/2P3Nk/8/8/2N1P3/PP1KP1PP/R1BQ1B1R w - - 13 69
draw by threefold repitition | R1N5/3k4/8/8/6P1/N2P1Q1B/PPPP1PKP/R1B5 w - - 13 27
draw by threefold repitition | 8/7k/1P6/8/8/2N3P1/PPPPPKP1/R1B1QB2 w - - 37 97
white win | 8/8/BNR5/8/6Qk/5P1P/PPPPKP1P/RNB5 b - - 10 22
draw by threefold repitition | 3k4/6N1/8/4Q3/P1P5/8/PP1PKPPP/RNBR4 b - - 22 43
white win | 4Q1R1/p4k2/B7/2pN4/8/8/PPPPPK1P/RNB5 b - - 2 31
draw by threefold repitition | 7n/8/6k1/8/1p6/5P1B/PP1KPP1P/RNBQR3 w - - 11 61
black win | rNb1k1nr/ppp2ppp/8/8/7b/8/PPPPPqPP/RNBQKBR1 w Qkq - 0 6
draw by threefold repitition | 8/8/3k4/8/Q1P4P/4P3/PP2P1P1/RNB1KB1R w Q - 55 73
draw by threefold repitition | 8/5N2/8/r4p1p/P5k1/8/PP1PPPPP/R1BQKBR1 w Q - 17 87
draw by threefold repitition | 8/8/1k6/3B4/8/P2P4/P1PP1P1P/R1BQK2R w Q - 29 71
white win | 8/5Q2/7k/1Np5/2PP4/8/PPP2PPP/R1B1KB1R b Q d3 0 46
draw by threefold repitition | 2k5/1N6/8/1N6/4Q3/3P4/PPPP1PPP/R1B1KBR1 w Q - 9 54
white win | 1r1k2nr/p1Q2pp1/B2P4/8/8/1P6/PP1K1PP1/RNB1R3 b - - 2 30
white win | B2R4/8/3N4/1Np4p/p2P1k2/7P/PPP1PPKP/R1BQ4 b - d3 0 28
draw by threefold repitition | 6k1/8/3N3B/8/7N/8/P1PPPPPP/R2QKBR1 w Q - 9 66
draw by threefold repitition | 8/2k5/8/5N2/N7/4P3/PPPPP1PP/R1BQKB1R w Q - 37 53
draw by threefold repitition | 8/6R1/4k3/1P6/1N3p2/7P/PPPPBP1P/RNB1K3 b - - 24 37
draw by threefold repitition | 8/7k/8/1N6/6Q1/4K1P1/PPPP2P1/R1B5 b - - 8 57
white win | r6k/5N1p/b3p3/2n5/2p2P2/5P2/PPPPP2P/R1BQKBR1 b Q - 2 32
draw by threefold repitition | 6R1/1B2k3/8/4p3/7p/N4K1P/PPPPPPQP/1RB5 w - - 15 46
draw by threefold repitition | 8/1k6/8/5Q2/8/B3P2K/P1P1P1P1/R4BR1 w - - 9 57
draw by threefold repitition | 2k5/6R1/8/8/8/N6P/PPKPPPBP/1RB5 w - - 18 34
draw by threefold repitition | 8/8/2k5/6B1/3P4/P5P1/P1P1PPP1/2KR1BR1 w - - 23 49
white win | 3N1k2/5Q2/8/8/4p2p/4P3/PPP1P1PP/R1B1KB1R b Q - 5 33
draw by threefold repitition | 8/8/8/2k5/8/P5PP/P1PPPPK1/R1B4Q w - - 81 94
black win | r1bq1k1r/ppp2ppp/2n1p3/3p4/6n1/5N2/PPPPPbPP/RNBQKBR1 w Q - 0 9
draw by threefold repitition | 8/3k4/8/7R/8/N4B1P/PPPPPPKP/R1BQ4 w - - 25 35
white win | 8/8/8/6R1/4kp2/2K4P/PBPNPP1P/R4B2 b - - 2 66
white win | rn2kb2/3br3/p1NN4/7p/8/8/PPPPPPPP/R1BQKBR1 b Q - 2 19
black win | 5r2/2n5/k7/7p/1p1P4/8/PPPPPqPP/RNBQKBR1 w Q - 12 59
draw by threefold repitition | 8/8/k7/8/p1P5/P2B1P2/PBPPKPQP/7R w - - 24 67
draw by threefold repitition | 7N/8/8/4k3/2P5/1P6/1P1P2PP/RNB1KB1R w Q - 22 49
draw by threefold repitition | 4k3/8/8/2p2B2/8/1P2PN2/1P1K2PP/RNBR4 w - - 11 37
white win | 4Qk2/8/8/8/B7/N3P3/PPPPK1RP/R1B5 b - - 8 41
draw by threefold repitition | 8/1k6/8/4N2R/2PN4/7P/PPPPBPKP/R1B4Q w - - 11 40
black win | rnb1kb1r/1p3p2/3pp1pp/p7/2p3n1/5N2/PPPPPqPP/RNBQKB1R w Qkq - 0 14
draw by threefold repitition | 4k3/7R/6N1/8/P7/3P4/1P1P1PPP/1NBQKB1R b - - 8 32
draw by threefold repitition | Q1B2k2/8/5N2/2R4P/8/P7/PBPKPP1P/7R w - - 21 47
draw by threefold repitition | 8/2k5/3p4/8/2B2P2/8/PPPPPPK1/RNB4Q w - - 13 39
white win | N7/8/8/6N1/3P1kP1/8/PPP1PP1P/R1BQKBR1 b Q d3 0 64
draw by threefold repitition | 8/8/3k2N1/8/5P2/8/RPPKP1PP/2BQ1BR1 w - - 29 64
draw by threefold repitition | k7/8/8/4Q3/p7/3P4/PPPP1PPP/RNB1KB1R b Q - 8 41
draw by threefold repitition | 4k3/8/8/2N4P/8/P3P3/PBPPPK1P/R7 w - - 19 46
draw by threefold repitition | 8/6k1/1R6/p7/3p4/N7/PPPPPPP1/1RBQKB2 w - - 10 29
draw by threefold repitition | 8/8/3k4/8/P7/5P2/PP1P1P1P/RNB1K2R w Q - 33 78
draw by threefold repitition | n7/8/8/1B1k4/7N/N7/PPPP1PPP/R1BQKR2 w Q - 21 59
white win | 8/8/8/R3P3/4kQ2/2P5/PPP1PKP1/1RB2B2 b - - 5 45
draw by threefold repitition | 8/3k4/8/2P5/7p/4P3/P1PPP1PP/R1BQKBR1 w Q - 32 85
draw by threefold repitition | 8/8/1R6/k7/3B4/P2P1PPR/P2PK1Q1/8 b - - 8 77
draw by threefold repitition | 7B/1Nk5/7R/8/8/2P3P1/P1PKPPP1/R3QB2 w - - 31 44
draw by threefold repitition | 2B5/6k1/8/2Q5/8/8/PPPP1PPP/RNB1K2R b Q - 12 41
white win | 5k2/2p2Q2/qp2p1p1/3pNp2/8/P2P4/P1PP1PPP/R1B1KB1R b Q - 2 26
draw by threefold repitition | 1N4k1/8/8/R7/7p/7P/PPPPPPBP/1RBQK3 w - - 23 36
draw by threefold repitition | 8/8/Q7/2k5/8/7B/PPPPPP1P/RNBQK2R w Q - 13 56
draw by threefold repitition | 1r4n1/1b6/1r5p/p1p4k/1p6/1P6/PP1PPPPP/RNBQKB1R w Q - 14 35
white win | 2N1k3/1pp1Q3/6p1/8/r7/8/PPPP1PPP/RNB1K1R1 b Q - 2 24
draw by threefold repitition | 8/8/8/2k5/B6p/2N2K1P/PPPPPPQP/1RB5 w - - 10 59
draw by threefold repitition | 8/8/3k4/8/8/N3P3/PPPPK1QP/R1B5 w - - 36 74
100 game(s) computed in 237914ms
