draw by threefold repitition | 3N4/8/6k1/1B6/5P2/N7/PPPPKPP1/R1B4Q w - - 11 40
draw by threefold repitition | 8/4k3/8/8/P1P5/3B3p/PP1P1P1P/RNB1KR2 w Q - 26 66
draw by threefold repitition | B7/6k1/P2Q4/8/8/N6P/PP1PPPKP/1RB5 b - - 16 35
draw by threefold repitition | 7k/8/8/7N/1p6/4P3/PPPPP1PP/R1BQKB1R w Q - 9 56
white win | 8/8/2P1N3/8/B1k1Q3/5P2/PPPP1P1P/RNB1KR2 b Q - 14 50
draw by threefold repitition | 2N3k1/8/5R2/8/8/1P3B1P/P1QPPPKP/R7 w - - 23 54
draw by threefold repitition | 6k1/8/8/8/5P2/NP4P1/PPKPP1P1/R1B2B2 w - - 29 59
white win | 1n2kr2/rN1pn2p/p1pN4/4p3/8/8/PPPPPPPP/R1BQKBR1 b Q - 1 15
draw by threefold repitition | 6N1/6k1/p7/2p2p2/1p6/3P4/P1PP1PPP/RN1QKB1R b Q - 8 42
white win | 1n2n2r/2b1r1pp/2p5/1p3p2/p2Qk3/2K5/PPP1PPPP/RNB2B1R b - - 2 29
draw by threefold repitition | 8/k5B1/8/8/8/5P1B/P1PPPP2/RNQ1K3 w - - 60 73
draw by threefold repitition | 8/2N5/6k1/8/P7/N4P1B/PPKPPP1P/7R w - - 34 61
draw by threefold repitition | 8/8/8/N2p1k2/1p1P3p/5P2/PPPPP2P/RNBQKB1R w Q - 8 44
white win | 1n4R1/b7/8/8/p2P1k1p/5P2/PPQ1PP1P/RNB1KB2 b Q d3 0 50
draw by threefold repitition | 8/4N3/8/6k1/8/8/PP1PPP1P/RNB1K2R w Q - 42 77
white win | 6n1/8/1pp2kQ1/p4B2/4R3/N2K4/PPPP1PPP/R1B5 b - - 3 32
draw by threefold repitition | 7N/6R1/8/1N6/4k3/P7/PBPPPPP1/RQ1K1B2 w - - 15 53
draw by threefold repitition | 8/8/4k3/1P6/P3B2P/8/PP1P1P2/RNB1KR2 w Q - 21 86
draw by threefold repitition | 8/4k3/8/7R/5P2/N7/PPKPPPP1/R1B2B2 w - - 16 58
white win | 5k1R/Q7/8/8/8/6P1/PP1PPPP1/RNB1KB2 b Q - 4 29
