draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
draw by threefold repitition | r1bq2k1/pp1p2p1/6N1/1BpP4/2P5/8/PP4Pb/6K1 w - - 8 26
minimax2--alpha2 10 game(s) computed in 549654 ms
