white win | r1b2bn1/2p1p3/p1Qqk1pr/3PNpBp/3P4/2N5/PPP2PPP/4RRK1 b - - 0 14
draw by threefold repitition | r1b1k3/3n1p1r/pp2p1p1/1B1NQ2p/2PNP3/8/PP3PP1/3R1RK1 b - - 9 25
draw by threefold repitition | 8/PP1P2P1/3P4/4R3/3R1Pk1/7p/7P/6K1 b - - 10 56
white win | r3kbn1/3Qp1pr/n2p4/p1p1NpB1/3PP1bp/2N5/PPP2PPP/4RRK1 b q - 0 13
white win | r1bq1bnr/ppN1p2k/1n4Qp/2p3B1/2BP3N/8/PPP2PPP/R4RK1 b - - 0 14
white win | 4Q3/prpP1kp1/1p1p4/3N2b1/PPPP1B2/5P1p/5P1P/4RRK1 b - - 2 22
white win | r1k2b1r/2Qbp1p1/p3N3/1p1B2Bp/2P2P2/3P4/PP4PP/4RRK1 b - - 3 23
white win | 1r2k2r/1bqpQp1p/pp3Bp1/1BP1N3/4PPP1/2N5/PbP4P/4RRK1 b k - 4 16
white win | 2Q1kb1r/pp2pp1p/3p2p1/n2N2B1/1P1PP1n1/5N2/P1P2P1P/4RRK1 b - - 0 19
draw by threefold repitition | rn1q3r/p2kp1b1/1Np1p1p1/1B4Bp/3PPP2/8/PPP3PP/4RRK1 b - - 8 24
draw by threefold repitition | 6R1/4P3/8/8/7k/8/8/6K1 w - - 47 121
white win | 4kb1r/2Nq1pp1/3p1B2/rQ2N3/pP1PPPPp/8/P1P4P/4RRK1 b k - 5 21
white win | r2q1b1r/nbp1p1kp/p3B1p1/4Q1B1/3P4/5N2/PPP2PPP/R4RK1 b - - 4 13
white win | 2k3rr/p5P1/P1Q1N3/4B2p/1p2P3/8/1P5P/4R1K1 b - - 0 34
white win | 1nb3nr/r2p2pN/1p1b3p/2p2P1k/1pPPP3/7Q/PP4PP/4RRK1 b - - 2 24
white win | 1n2RRkr/6pp/1p6/PB1P2P1/1p1P4/8/7P/6K1 b - - 0 30
white win | 3QR1nr/1pk4p/4b3/pBP3p1/3PP1P1/8/P6P/4R1K1 b - - 0 37
white win | R1k5/4R1P1/1b4P1/3P1P2/8/8/5R1P/6K1 b - - 0 44
white win | 1n3N2/1prkP1P1/1PpNR3/1P6/3P4/8/7P/4R1K1 b - - 0 50
white win | 5Q1k/1PP5/4p1P1/p3N3/P3P2p/8/8/6K1 b - - 0 51
white win | 2bq2kr/r1ppBQbp/p2N4/1B1P4/2P3n1/5N2/P4PPP/4RRK1 b - - 0 16
white win | 1rb1k2r/3pP1b1/np3PQ1/pBP1N1B1/P1PP1P1p/8/7P/4RRK1 b - - 0 25
white win | 1n2k1R1/2rp4/5B2/1BPPN2p/p4P2/P7/7P/3R2K1 b - - 0 32
white win | 5Q1k/1bP3R1/np1p4/6Bp/2PP4/2P5/7P/3R2K1 b - - 0 37
white win | rnbk4/qp1p1N2/p1pPpN1p/1B6/1P1PPPP1/3Q4/P6P/4RRK1 b - - 14 32
draw by threefold repitition | rnb2bnr/6pp/4N3/p1PNp3/8/8/k2R1PPP/6K1 b - - 25 54
white win | r4bnr/2p3pp/1p6/p4PB1/PkNP1N2/1Q6/1PP2PPP/R4RK1 b - - 2 19
white win | R3k2r/5ppp/4pB2/2P1N3/2P1PPP1/4n3/P6P/5RK1 b - - 0 25
white win | 2R4k/2Pp4/3P4/3P4/4B3/7p/6RP/6K1 b - - 0 51
white win | 1RQ1k2r/3p1pp1/7n/1p1BN1B1/p3PPPp/q1N5/P1P4P/4RRK1 b - - 0 23
white win | 1Rk4r/1R4Pp/3R4/8/8/8/5K2/7q b - - 0 56
draw by threefold repitition | 8/PP4r1/3P4/1P2B1p1/2R3p1/8/2k4P/6K1 b - - 38 61
white win | 2N5/prpp2b1/np1k3p/1B1P1q2/1PP1P3/2Q3P1/P5PP/4R1K1 b - - 0 25
draw by threefold repitition | 1n6/rb1p1Rk1/3p3r/bP1N2P1/PP1PP1P1/8/7P/6K1 b - - 11 31
white win | 2bN4/P7/2p1kB2/2P1P2P/p2R4/8/8/5RK1 b - - 0 39
white win | kn3R2/4P3/P1B5/P1B3P1/2P3P1/8/7P/4R1K1 b - - 2 47
white win | 5RR1/1P2P3/3P1k2/8/8/7p/7P/4R1K1 b - - 2 56
white win | Q3k1n1/4pp1r/pp2B3/4P1bp/2P1PP2/8/PP4PP/4RRK1 b - - 0 22
white win | 1nb2b1r/1p3ppp/r2p4/ppkP2B1/3QP3/5N2/PPP2PPP/R4RK1 b - - 1 15
draw by threefold repitition | 1rbk1br1/pq1ppN1p/n5p1/1Bp3B1/3P4/3Q1N2/PPP2PPP/4RRK1 b - - 8 16
white win | rnbqkb2/pp1p1Q1p/2p5/1B2N1B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 2 14
white win | r2q1knr/p1pnbQpp/8/3NN1B1/3PP3/8/PPP2PPP/R4RK1 b - - 0 12
white win | Q1k1b2r/3r1pPp/2N3P1/3N4/1PP1P3/6P1/8/4RRK1 b - - 0 34
white win | 2RR1b1r/4p3/3k2p1/2N3Bp/1p1PP1P1/4P3/1P5P/4R1K1 b - - 0 50
draw by threefold repitition | 2b2b1r/r3n3/pn4R1/1p1BP3/4P3/6P1/PPP1k2P/5RK1 w - - 19 39
white win | r3k3/2N1PR2/1p2P3/3P3p/Pp1P4/6P1/1P5P/4R1K1 b - - 0 33
white win | rn1qk2Q/p2ppp1p/b7/1Bp2nB1/4P3/2N2N2/PPP2PPP/R4RK1 b q - 0 9
white win | 3R1k2/p7/P1p2Bpn/4NbPp/4P3/b7/7P/3R2K1 b - - 0 32
draw by threefold repitition | 8/1P5P/p3N3/P7/8/8/8/k5K1 b - - 24 89
white win | Q2k1b1r/p1p1ppp1/8/1B3nBp/3P4/5N2/PPP2PPP/R4RK1 b - - 0 14
50 game(s) computed in 3135763ms
