draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
draw by threefold repitition | 8/4P1P1/1p2R3/pBp1B1k1/P1P5/2P5/8/6K1 b - - 11 42
minimax2--pos 50 game(s) computed in 3095366ms
