white win | r1bqkb2/p2pnp1r/n4N1p/1B2N1B1/1pPQPPP1/8/PP5P/4RRK1 b q - 2 15
draw by threefold repitition | 8/3P4/8/3R4/8/4k3/8/6K1 w - - 23 106
draw by threefold repitition | r1b4r/1ppp1N2/4k3/pB1N3p/3PP3/8/PPP2PPP/4bRK1 w - - 11 22
white win | rnb1k2r/p1ppQ1p1/1p5p/1B3pB1/4P3/2N5/PPP2PPP/R4RK1 b kq - 0 12
draw by threefold repitition | rn1q1bn1/p1N1pkp1/4Bp1r/2p3Bp/3PP3/5N2/PPP2PPP/R2Q1RK1 b - - 8 15
white win | 1n4r1/r4kp1/p2PR1N1/1P3Q1p/1P1P2P1/8/7P/6K1 b - - 2 29
white win | 1r1kq3/p1QP4/P2Pp1pr/4P1Pp/3P2P1/8/6bP/3R2K1 b - - 8 33
white win | rnb1kbnr/2N2p1p/ppppp1p1/4N1B1/3PPP2/3Q4/P1P3PP/4qRK1 b kq - 1 13
white win | rnbk1b1r/ppBp4/4pNp1/1pQ5/3PP2p/5N2/PPP2PPP/4RRK1 b - - 2 16
white win | r1kQ2n1/p3p1Pb/P1N1N1p1/2P5/2P1P1P1/8/5r1P/4R1K1 b - - 2 29
draw by threefold repitition | 6R1/P2P4/P6k/3B4/8/7p/7P/6K1 b - - 10 67
white win | r1bqk1r1/p1pp1Q2/np4np/1B2N1B1/3PP3/b1N5/PPP2PPP/R4RK1 b q - 0 10
white win | rnbk2Q1/3p2p1/1p2p1p1/pBpN4/1PPPP1P1/8/P6P/4R1K1 b - - 0 23
white win | rnQ1kbnr/p4ppp/2pp4/1Bq1N1B1/3PP3/2N5/PPP2PPP/R4RK1 b kq - 2 10
white win | r1bq3r/pppp1Npp/n2k2n1/1B1N1QB1/1b1PP3/8/PPP2PPP/R4RK1 b - - 2 12
white win | 2bqkbn1/1r1pp3/pp4Q1/2P1P1Bp/4P3/2N5/PPP3PP/4R1K1 b - - 2 20
white win | rnbq3r/1pppN1kp/4pQ2/1p1N2P1/3PP3/8/PPP3PP/4R1K1 b - - 3 21
draw by threefold repitition | rn4n1/p2p2k1/b7/4P1B1/1PPPPNP1/6P1/P7/4R1K1 w - - 9 34
draw by threefold repitition | r1k2bnr/pp1Bpp1p/n2Q2p1/6B1/4P3/2N2N2/PPP2PPP/R4RK1 b - - 10 15
white win | rnbk3r/ppp1BQ1p/2q5/1B2Np2/3PP3/2N5/PPP2PPP/R4RK1 b - - 2 13
white win | 1r1k2nr/p2R4/3NB1q1/6P1/3PP3/8/PPP3PP/4R1K1 b - - 6 25
white win | 7R/pPPP4/5B1k/4N3/4P3/8/2n4P/4b1K1 b - - 0 39
white win | r1bq1bnr/p1pp2pp/1p2k3/1B3QB1/1nNPP3/2N5/PPP2PPP/R4RK1 b - - 0 11
white win | 1R2k1rb/5p2/4pB2/2P1N2p/r1P1P1p1/5QP1/5P1P/4RRK1 b - - 0 24
white win | r1bq1b1r/pppnkQ1p/3p1p2/1B2N1B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 2 11
white win | rnb4r/1p1p3p/p2N4/1BP2N2/3QP3/5RP1/k5P1/R5K1 b - - 1 28
white win | rn1k1Q2/p1qpp1p1/bppN4/1B2N1B1/1PPP1PPr/7p/P6P/4RRK1 b - - 0 18
draw by threefold repitition | 8/8/8/4R3/7k/8/8/6K1 b - - 18 139
white win | 1nb1k1R1/4p2p/rppp4/pB2N1B1/3PPP2/2NQ4/1PP4P/4RRK1 b k - 0 17
draw by threefold repitition | 6R1/4P3/7k/4B3/8/8/8/1K6 b - - 10 86
white win | 2b5/1pPp4/1P1N3k/2PNBP2/4PP2/7R/7P/3R2K1 b - - 0 49
draw by threefold repitition | 8/3pPP2/3P4/3B3p/8/8/1k6/6K1 w - - 12 91
white win | 3r4/8/P1kNB1pp/P3P3/3PR1P1/8/7P/2R3K1 b - - 2 44
white win | 2bq1bn1/1p1p1r2/2k1Npp1/1pPP2Bp/r3P3/3Q4/PP3PPP/4RRK1 b - - 0 17
white win | r5rk/pbn2Nb1/2P5/5QBp/4PP2/2N3P1/P1P3P1/4RRK1 b - - 4 22
white win | rn2kbn1/3ppNp1/bp1N1pP1/1BP5/pP1Q2P1/8/P6P/4R1K1 b - - 4 21
white win | rnb1qbnr/ppp2ppp/3kp3/1B1N4/2NPP3/8/PPP2PPP/R1BQK2R b KQ - 2 8
draw by threefold repitition | 8/2PP2k1/3N2p1/3BP1P1/p7/P6p/7P/5RK1 b - - 10 50
white win | 1r2bQ1R/1P4k1/2p1B1p1/2P3P1/3P4/8/6K1/8 b - - 0 47
white win | 1rb5/1p2Npp1/1PNk1p1r/5P1p/3QPR2/8/n6P/4R1K1 b - - 1 30
white win | b1r1k2r/3pPPp1/p1pq4/PP4Bp/3PP1P1/8/8/4RR1K b - - 0 32
white win | 2bQkb1r/rpP1p3/6p1/2P1NpB1/4PPn1/p6p/P1P3PP/4RRK1 b k - 1 21
draw by threefold repitition | 2rq2nr/kbNpn1pp/5p2/p2N1QB1/P2PPP2/8/1PP3PP/4RRK1 w - - 9 23
draw by threefold repitition | 4R3/8/4k3/8/8/8/5K2/7q b - - 11 115
white win | b5nr/1kQn1p1p/rp1BN3/p7/4P3/5N2/PPP2PPP/4RRK1 b - - 3 17
draw by threefold repitition | 4rb2/2p1p3/1p2R1P1/6B1/k3R1p1/8/7P/6K1 b - - 12 50
white win | r4br1/2p4p/3PP3/p3R1B1/k2NP3/2P5/R5PP/6K1 b - - 3 35
white win | rnbq1knr/p1pp1Q1p/1p1b4/1B2Np2/4P3/2N5/PPPP1PPP/R1B2RK1 b - - 2 9
white win | 8/P1P3R1/2p5/4P3/1P3N1k/8/5B2/b5K1 b - - 13 73
