white win | 1QR5/8/8/k7/8/R3K3/8/8 b - - 44 202
50 move count reached | 2B5/8/8/8/k7/8/8/2K5 w - - 100 298
50 move count reached | 8/3n4/k7/8/8/7K/8/7n w - - 100 211
50 move count reached | 8/8/2k5/8/3K4/8/8/8 w - - 100 284
50 move count reached | 8/3k4/8/6K1/8/8/8/8 b - - 100 237
50 move count reached | 8/8/8/K7/8/8/2k4p/7r w - - 100 275
draw | 4bk2/8/8/8/6K1/4B3/8/8 b - - 0 183
draw | 8/8/5k2/8/8/K7/3B4/7b w - - 0 137
50 move count reached | 8/8/8/8/6K1/k7/8/7r w - - 100 201
stalemate | 8/8/8/8/8/1K6/8/7k b - - 7 200
50 move count reached | 8/8/8/7p/k6P/5K2/8/8 b - - 100 205
black win | 6k1/8/KqB2P2/8/p7/3n4/8/6b1 w - - 13 103
50 move count reached | 3R4/1k3n2/8/5N2/8/1K6/8/8 w - - 100 143
50 move count reached | 5K2/b7/B4k2/n7/8/8/8/8 b - - 100 191
white win | 2k5/2Q5/3P1P2/8/P6p/7P/1B3KR1/4R2B b - - 6 77
50 move count reached | 2b5/8/7K/8/8/8/7k/7n b - - 100 214
stalemate | 8/5K2/8/8/8/8/8/7k b - - 69 280
50 move count reached | 8/8/4K3/8/p7/P2k4/8/8 b - - 100 217
50 move count reached | 8/8/8/8/8/8/2k1K3/8 w - - 100 264
white win | 8/8/8/8/8/8/6Kp/7k b - - 1 158
stalemate | N4RR1/8/3N4/7p/7K/7B/7k/7b b - - 0 137
50 move count reached | 7K/8/6k1/8/8/7p/7P/8 b - - 100 178
50 move count reached | 8/8/8/8/4k3/B7/1K6/8 w - - 100 279
50 move count reached | 8/1k6/8/8/6K1/8/8/8 b - - 100 249
stalemate | 8/1N6/8/8/1K6/6Q1/8/3B3k b - - 33 233
stalemate | 7K/8/8/8/8/8/8/7k b - - 96 218
draw | 8/8/8/3B1b2/1K6/8/2k5/8 b - - 0 145
50 move count reached | 8/8/8/8/1k6/6K1/2B5/8 b - - 100 232
50 move count reached | 8/8/3k2K1/8/8/8/8/8 b - - 100 289
50 move count reached | 8/8/8/8/2k5/5K2/8/8 w - - 100 185
white win | 8/7P/2B1N3/8/1b6/8/pRK5/N6k b - - 16 149
stalemate | 7K/5k1P/8/8/8/8/8/7r w - - 5 176
white win | 8/8/8/8/8/8/2n3Kp/7k b - - 0 198
50 move count reached | 8/8/8/1K6/8/8/4k3/8 b - - 100 230
50 move count reached | 8/8/8/8/8/1k1K4/8/8 b - - 100 316
50 move count reached | 8/8/K7/8/8/2k5/8/7q b - - 100 251
50 move count reached | 8/8/8/K7/8/5k2/8/7r b - - 100 224
50 move count reached | 8/2B5/8/8/6k1/8/3KR2p/7n b - - 100 161
50 move count reached | 8/8/8/8/3k4/8/8/K6b b - - 100 189
50 move count reached | 8/8/1k6/8/8/8/4K3/7r w - - 100 218
50 move count reached | 5k2/2K5/8/8/8/8/6b1/7q w - - 100 232
50 move count reached | 8/8/4K3/8/8/6k1/8/7q w - - 100 221
50 move count reached | 7k/8/8/8/8/8/3K4/7b w - - 100 196
50 move count reached | 7K/k7/8/8/8/8/8/8 w - - 100 223
draw | 5N2/8/8/6k1/8/8/4K3/7b b - - 0 183
50 move count reached | 8/3K4/8/8/2k5/8/8/7r b - - 100 260
50 move count reached | 8/8/8/8/3KB3/8/k7/8 w - - 100 232
50 move count reached | 8/n1K5/8/8/3k4/8/8/8 b - - 100 156
