draw by 50 move rule | 8/8/8/K4k2/8/8/8/Q7 b - - 100 232
draw by 50 move rule | 8/8/2K5/2p3k1/2P5/7B/8/8 b - - 100 207
draw by insufficient material | 5K2/3k4/8/8/1B6/8/8/8 b - - 0 144
white win | 3k1Q2/8/2Q5/3n4/K7/3pb1r1/b7/8 b - - 0 99
draw by insufficient material | 8/1K4k1/8/8/1n6/8/8/8 b - - 0 205
white win | R1R5/1k1N4/2P5/r5P1/8/3p4/5p2/3K4 b - - 0 95
black win | 8/8/2r4k/p1N5/P7/5q2/3K4/3q4 w - - 8 91
draw by insufficient material | 8/8/k7/8/4K3/8/5B2/8 w - - 0 168
draw by insufficient material | 8/8/8/3K4/8/8/n7/6k1 b - - 0 143
draw by insufficient material | 8/8/8/8/6K1/1k3N2/8/5b2 w - - 0 130
white win | r2nk2r/pppb1n2/4pN2/5pp1/3P2P1/BP3P1P/P1q1P3/RN1QKB1R b KQkq - 5 16
white win | Q1k3nr/1pr5/1P2P2b/3p2p1/1NpP4/2P2B1P/3P3R/3K2N1 b - - 2 43
white win | 2n5/r7/2b4B/p1Pn3P/P3P1k1/p3p3/2P1BP2/R3K2R b - - 2 34
black win | Q7/2p5/1p3k2/p5p1/1B1P2Pp/2bB3P/R1P5/Q2Kr3 w - - 0 56
white win | 3n2k1/pb1rB1Q1/2p1p3/3p1P1N/n7/5K2/4B3/3R4 b - - 2 61
draw by insufficient material | 8/8/8/7k/8/1B6/2K5/8 b - - 0 147
draw by insufficient material | 8/7n/8/4K3/8/8/2k5/8 b - - 0 154
draw by insufficient material | 8/8/2n5/3k4/8/K7/8/8 b - - 0 195
white win | 1rb4r/1p3Q1p/4pkN1/R2P2N1/8/1P1n1B2/3BKP1P/8 b - - 2 36
draw by insufficient material | 8/3k4/8/8/8/8/8/1K6 b - - 0 203
white win | 6rk/7Q/3Nn1Bp/2Pp3P/1P1P1P2/1q2rP2/1R6/1K6 b - - 2 60
draw by insufficient material | 8/8/6K1/k7/8/8/1B6/8 b - - 0 177
white win | R3k3/4P3/2N1B1P1/3p1P1r/6p1/6r1/2K5/8 b - - 4 72
draw by insufficient material | 8/8/8/7N/k3K3/8/8/b7 b - - 0 165
white win | 5N1k/8/8/4B2p/6RP/3bK3/R7/8 b - - 8 83
white win | r7/4n1b1/p3Qk2/1NN2pp1/1P2B3/4PP1r/2PP1K2/q5R1 b - - 5 43
white win | r3bQ1k/7p/Pp5r/3Pp3/N1p2p2/P1P1nPp1/8/R5K1 b - - 4 63
white win | r3kbr1/2pQpb1N/p3Ppp1/8/1Pp1PP2/B2P4/P3B2P/1NKR2R1 b q - 0 21
draw by insufficient material | 8/8/4B3/8/8/2K5/8/3k4 b - - 0 200
white win | r1b1r3/3n4/p1pbNN2/p2p1pp1/3P1P2/P1kQPp1P/2P3P1/R1B2K2 b - - 2 28
black win | r3kbr1/pp2p2p/n2p2bp/1p1N3P/2qBPpP1/PK1n1R2/2PP1P2/3R1BN1 w q - 1 21
draw by 50 move rule | b5b1/4K3/8/8/8/k7/8/6B1 w - - 100 166
draw by insufficient material | 5K1N/8/8/2k5/8/7b/8/8 w - - 0 170
white win | rnbqkb1r/ppppp2p/5p2/6pB/P1P5/7P/1P1n1PP1/RNBQK1NR b KQkq - 1 6
draw by 50 move rule | 8/5K2/8/8/8/5p2/5P2/2k5 w - - 100 228
draw by insufficient material | 8/6k1/1B6/8/8/8/6K1/8 w - - 0 171
white win | 5Q2/1P5k/p7/5B2/4p2p/pn2P3/R1P5/5K2 b - - 6 69
white win | r5n1/p4r2/7B/5P1p/8/P1Pp1kPP/3N1P2/R1B2K2 b - - 1 45
draw by stalemate | 5k1K/1r6/8/8/8/3b4/8/8 w - - 13 192
draw by 50 move rule | 6B1/8/8/8/R7/8/1k3b2/5K2 b - - 100 164
draw by insufficient material | K7/8/8/8/8/8/k1b5/8 b - - 0 196
white win | Q2k2n1/3r4/1p1P1b2/n3p1p1/4P1Pp/NN2K1RP/1Q6/8 b - - 0 50
draw by insufficient material | 8/8/8/1k6/7B/3K4/8/8 b - - 0 149
draw by insufficient material | 6N1/8/8/8/3K4/8/4k3/8 b - - 0 221
white win | 7r/1B2p2p/5p2/pRpQk2b/7P/6K1/Rq3P1R/8 b - - 6 41
white win | 3rk2r/2p1nQpp/4P1N1/pp1p4/1P1PB1P1/2P1K3/1B5P/2R1R3 b - - 4 32
white win | 4N1rk/8/b2Pp3/1pppP1N1/pP4P1/4P3/P1RK3R/2B5 b - - 0 46
white win | 5r2/4kB2/1p1b4/1Pp1NPBN/1p2p1P1/R7/5n1P/6K1 b - - 0 48
draw by insufficient material | 8/8/2N5/7k/2b5/5K2/8/8 w - - 0 156
white win | 1rk5/2Q5/p2P2p1/1p6/2P5/P5pP/R5P1/2N1Kb2 b - - 3 60
