draw by insufficient material | 8/1K6/8/4k3/8/8/8/6B1 w - - 0 241
draw by 50 move rule | 8/8/1k6/3K4/8/7Q/8/8 b - - 100 247
draw by insufficient material | 8/8/8/6K1/8/2N5/8/b5k1 w - - 0 156
white win | 8/6r1/1p3Q2/1P6/2P1Pk1P/5B2/5K2/2R2N2 b - - 2 84
draw by insufficient material | 8/8/2k5/8/2N5/8/8/6K1 w - - 0 181
white win | 4k1R1/8/4K3/7p/3P3P/8/8/8 b - - 35 92
draw by 50 move rule | 7k/4N3/8/6B1/4b3/7K/8/8 w - - 100 209
black win | 4n3/8/2p2p1N/4k1p1/KPp1P1p1/6P1/5N2/r7 w - - 5 57
draw by insufficient material | 8/8/8/4K3/8/6k1/8/4n3 w - - 0 177
draw by 50 move rule | 8/5k2/8/8/8/6R1/8/4K3 b - - 100 202
draw by insufficient material | 8/2k5/8/8/6K1/8/6b1/8 b - - 0 233
draw by insufficient material | k7/8/5N2/8/1K6/8/8/6b1 b - - 0 124
draw by stalemate | 4b3/r2k4/8/8/7K/1r6/8/6r1 w - - 2 149
draw by insufficient material | 8/8/8/5k2/2K5/8/8/8 b - - 0 231
draw by 50 move rule | 4k3/8/8/7p/K6P/8/8/8 b - - 100 192
draw by 50 move rule | 8/3K1bk1/8/8/8/8/3b4/8 b - - 100 165
white win | k3K3/1Q6/P1P5/3b4/1b6/1pR5/8/8 b - - 20 106
black win | k3b3/8/1p6/3p1N1p/3np2P/p1B3p1/P5P1/K1q5 w - - 0 77
draw by insufficient material | 3k4/8/8/8/8/8/8/4K3 b - - 0 207
black win | 6nb/1p6/B2p1kr1/P3pq1P/4KP1P/2p1B1r1/b7/6Q1 w - - 0 52
draw by insufficient material | 8/8/8/K7/8/8/7k/8 w - - 0 184
draw by 50 move rule | 4r3/3k4/8/8/8/8/K7/8 w - - 100 164
draw by insufficient material | 8/8/n7/8/5k2/2K5/8/8 w - - 0 201
draw by insufficient material | 1B6/8/8/6k1/8/8/7K/8 w - - 0 159
draw by threefold repitition | 8/k7/8/p7/P7/3K4/8/8 w - - 27 256
white win | 5R1k/7r/7P/4b1KP/8/8/1p6/8 b - - 1 101
black win | 3k3B/8/1R6/1P6/8/5B2/1N3r2/3K2q1 w - - 0 85
draw by insufficient material | 1B6/8/8/k2K4/8/8/8/8 w - - 0 173
draw by 50 move rule | r7/8/3n4/8/8/2k5/1b6/4K3 w - - 100 213
white win | 5Qk1/1P3R1r/N7/7p/5K2/8/3P4/1N6 b - - 4 61
draw by insufficient material | 8/8/8/7k/8/8/1N6/3K4 w - - 0 227
draw by stalemate | 4K3/8/2k2q1q/8/1p6/8/8/8 w - - 4 171
draw by insufficient material | 1n6/8/1k6/8/8/4K3/8/8 b - - 0 190
draw by insufficient material | 8/2k5/8/8/7B/8/8/2b1K3 w - - 0 185
draw by insufficient material | N7/8/4k3/8/8/4b3/8/3K4 w - - 0 178
draw by 50 move rule | 8/4K3/1k6/7p/7P/8/8/8 w - - 100 182
draw by insufficient material | 8/8/8/4b3/8/4K1k1/8/8 w - - 0 186
draw by insufficient material | 8/8/1n6/5K2/8/8/2k5/8 b - - 0 145
draw by insufficient material | 2B5/8/8/8/8/1nk1K3/8/8 b - - 0 193
draw by 50 move rule | k7/5n2/B7/3K4/P6n/8/8/8 w - - 100 161
draw by insufficient material | 8/8/8/8/4B3/4k3/b1K5/8 b - - 0 143
draw by insufficient material | 8/8/4K3/8/8/8/8/5k2 b - - 0 195
draw by 50 move rule | 2k5/8/5p2/3K1Pb1/8/8/8/8 b - - 100 234
draw by insufficient material | 8/7k/8/8/8/3b4/8/B1K5 w - - 0 183
white win | r3B2N/1b6/ppp1p3/3p1p1p/PP1Pk3/4B3/2Q1KP1P/R4R2 b - - 1 38
draw by insufficient material | 7b/3k4/8/1K6/8/8/8/8 b - - 0 167
draw by insufficient material | 8/K7/6k1/8/8/8/8/8 b - - 0 197
draw by insufficient material | 8/8/8/2b5/K7/4k3/8/8 b - - 0 206
draw by insufficient material | 8/8/8/8/8/8/5k2/3n3K w - - 0 252
white win | 2rqkb2/pbpppBpr/1p5p/8/PP1nPPn1/1Q6/2PP2PP/RNB1K1NR b KQ - 0 12
draw by insufficient material | 8/4B3/8/8/8/8/7k/K7 w - - 0 207
draw by insufficient material | 8/8/8/8/1k6/5K2/8/1b6 w - - 0 220
draw by 50 move rule | 5k2/8/8/5N2/8/4K3/8/7N b - - 100 274
draw by threefold repitition | 8/5k2/8/1K6/8/1p6/1P6/8 w - - 70 219
draw by insufficient material | 8/8/4k3/8/8/8/8/K7 b - - 0 158
draw by insufficient material | 8/8/8/8/8/n7/8/3K2k1 w - - 0 149
draw by insufficient material | B7/8/3k4/8/8/1K2b3/8/8 b - - 0 159
draw by 50 move rule | 8/6k1/5R2/4K3/8/8/8/8 b - - 100 221
draw by insufficient material | 8/8/3K4/8/3k4/8/8/1n6 w - - 0 155
draw by 50 move rule | 8/8/2Q3B1/8/1N6/4k3/1K6/8 b - - 100 217
draw by stalemate | 2n5/8/8/1k6/8/8/3p3q/5K2 w - - 20 196
draw by insufficient material | 8/8/8/5k2/8/1K6/6b1/8 b - - 0 112
draw by insufficient material | 1K5N/4k3/8/8/8/8/8/8 b - - 0 167
draw by insufficient material | 1k6/8/8/8/8/8/8/K7 w - - 0 167
draw by 50 move rule | 4r3/8/8/4k3/8/8/2K5/8 w - - 100 281
draw by insufficient material | 8/8/8/2k5/8/2n5/8/4K2N w - - 0 179
draw by 50 move rule | 8/8/1N6/8/8/6k1/7R/2K5 w - - 100 209
draw by 50 move rule | 3k4/1r6/8/6K1/8/8/8/8 w - - 100 181
draw by 50 move rule | 1b1b4/8/8/8/4k3/8/4K3/8 b - - 100 208
white win | r1n5/2p3r1/1p6/P2p4/RP2Q1pP/NnP5/5K1k/7R b - - 4 51
