black win | 5b2/n3k1p1/4r3/8/1P6/B2bp2p/2PP3P/4K1q1 w - - 0 56
black win | 2b1kbr1/3pp1pp/r3N2n/pP6/8/1P5p/R2PPP1R/1Nq1KB2 w - - 0 14
black win | r3kr2/p4pbp/n3b2p/1p1pp3/4nqP1/P1PPK3/1QP1P1BP/RN4NR w q - 0 16
draw by insufficient material | 6B1/8/2k5/8/8/8/8/5K2 w - - 0 167
draw by insufficient material | 8/8/8/7k/8/8/8/2K5 b - - 0 214
draw by 50 move rule | K7/8/8/8/8/8/1R6/3k4 b - - 100 207
black win | 8/5Q2/1P3B2/k7/8/3K4/2rr4/4r3 w - - 6 121
black win | 8/8/1kB1P2P/8/8/r7/4Kb2/4q3 w - - 2 140
draw by insufficient material | 8/8/8/7k/8/8/7K/6N1 w - - 0 272
black win | 5r2/6k1/4rp1p/p5B1/3pB1b1/N1P1P3/PP1Kq3/2R5 w - - 0 63
white win | k7/Q5Q1/3bP3/8/6K1/5N1R/1r6/3r4 b - - 11 92
black win | 2b3n1/2r3kr/n4b2/p5pP/p1pqpP2/4K3/1P1BP2P/R4BNR w - - 0 30
draw by insufficient material | k7/8/8/8/8/7K/8/n7 b - - 0 162
draw by insufficient material | B2k4/8/8/7K/8/8/8/b7 b - - 0 149
draw by insufficient material | 8/8/7k/1K6/1n6/8/8/8 b - - 0 224
black win | 6b1/8/7p/6P1/2N1k2n/8/1r6/3q3K w - - 0 78
black win | 4k3/p2n1N1r/1Q1p1p1p/6pR/1P3p2/P1pP4/RB1q4/4KBN1 w - - 0 34
draw by 50 move rule | 4B3/8/k7/P7/8/5K2/8/8 b - - 100 189
draw by insufficient material | 2B5/8/8/8/3k4/8/8/4K3 w - - 0 165
black win | 8/3q4/p1b5/n1N1p2k/2R3n1/2P1p1P1/4Kr2/B1r5 w - - 6 82
draw by insufficient material | 8/8/8/8/8/4B3/2k5/4K3 w - - 0 207
draw by 50 move rule | 8/8/5N2/1k6/8/1B6/5K2/8 b - - 100 209
black win | 1r3k2/6b1/7p/pPnpr1pP/1P2P1P1/8/R1BP4/1N1K1q2 w - - 0 46
black win | r1b1kbnr/pp1ppppp/2n5/2p5/8/N1P2PqP/PP1PP1P1/R1BQKBNR w KQkq - 1 5
black win | r4n2/Bp6/1P3Q2/p1k3r1/P1q1P3/2K2P2/6B1/1Rb4R w - - 1 63
draw by insufficient material | 8/8/8/8/4K3/8/8/3k4 b - - 0 229
draw by insufficient material | 7k/5b2/7K/8/8/7N/8/8 w - - 0 172
draw by insufficient material | 7k/8/8/8/5K2/8/8/8 w - - 0 215
draw by insufficient material | 1N6/4k3/8/8/8/3n4/8/7K b - - 0 167
black win | 2k2b2/P5p1/3P2P1/5P2/2p4B/5p2/1qK2n2/1r6 w - - 3 68
black win | 1Bb2k2/3p4/1N3Pp1/pr6/8/4b2p/2P1P2P/1r1K1B2 w - - 2 38
black win | 8/1B1k4/b3p2r/2B1P1P1/3P1p2/N1p5/2n1qK2/6R1 w - - 2 72
black win | 8/2p1B3/2kp4/nbN5/1pP5/1P1P4/r7/2N2K1q w - - 3 51
draw by insufficient material | 6N1/7K/8/8/8/7k/8/8 b - - 0 151
black win | 4k3/8/7p/6qK/1n1p4/5Q2/2p5/8 w - - 6 123
black win | 8/8/p7/8/8/4kp1r/7p/2q2K2 w - - 0 118
draw by 50 move rule | 2B5/8/1B6/K7/8/8/3k4/8 b - - 100 219
draw by 50 move rule | 8/2K5/8/8/1k2p3/4P3/4b3/8 w - - 100 206
black win | 3q1kn1/p7/bRp5/5p1p/2r1Pn1K/8/P6N/5R1n w - - 8 55
draw by insufficient material | 8/1b6/4K3/7B/5k2/8/8/8 b - - 0 184
black win | 4kb1r/4ppp1/8/1q2Pn2/pPp2P1P/3bKN1P/RBPP1R2/5B2 w k - 8 30
black win | 4k3/1R2n3/P6P/8/1p6/2b5/3q4/3K4 w - - 3 110
draw by 50 move rule | 8/4b2k/8/7r/8/8/6K1/8 b - - 100 333
black win | 6N1/prp4r/4k2b/Q1P3Pp/PP6/B2qpnP1/5P1R/1R2KB2 w - - 2 39
draw by stalemate | 8/6k1/4p1P1/p3P3/1p5p/1P5p/2q5/K7 w - - 8 90
draw by insufficient material | 8/8/1K6/8/8/8/1k6/8 b - - 0 240
draw by insufficient material | 8/8/8/8/8/n7/1K1k4/5B2 w - - 0 144
draw by insufficient material | 2B5/3k4/8/8/4K3/b7/8/8 b - - 0 120
black win | r1b4r/1p1p3p/2p1k2P/4Ppp1/1p5Q/R2p1P2/2q1Nb2/2BK1N1B w - - 2 32
draw by 50 move rule | 8/8/6b1/1k1n4/8/8/4K3/8 w - - 100 234
