draw by insufficient material | 8/8/8/8/8/2k5/7K/8 b - - 0 208
black win | 3k2r1/8/rp3p2/p1p2p1K/P1P2b2/7q/3N4/8 w - - 0 53
draw by insufficient material | 8/8/8/4k3/8/8/8/4K3 b - - 0 179
draw by insufficient material | 6k1/8/8/8/8/2K5/8/8 b - - 0 206
draw by 50 move rule | 8/8/7b/8/k7/8/8/6K1 b - - 100 264
draw by 50 move rule | 2K5/8/3k4/8/8/8/8/b7 b - - 100 261
draw by insufficient material | 8/8/8/1k6/8/8/8/2K5 b - - 0 150
draw by insufficient material | 8/K7/8/8/8/8/8/3k4 w - - 0 188
draw by stalemate | k7/B2R4/5Q2/8/8/8/1K6/8 b - - 32 154
draw by insufficient material | 8/8/8/8/8/3k2K1/8/8 w - - 0 266
black win | 7r/3r3n/4k2p/1p5P/2R1P3/p3b2q/P7/5BK1 w - - 0 82
white win | 1k6/3N3R/2Q5/8/6K1/3PBR1r/8/8 b - - 2 84
draw by insufficient material | 7k/8/8/8/4K3/8/8/8 b - - 0 209
draw by 50 move rule | 8/r7/8/B7/8/8/6k1/3K4 w - - 100 183
draw by 50 move rule | 8/8/k7/3R4/8/6K1/8/8 w - - 100 217
draw by insufficient material | 8/8/8/5k2/8/8/8/6K1 w - - 0 198
draw by insufficient material | 4K3/8/8/8/8/k7/8/8 w - - 0 192
draw by 50 move rule | 8/1r5k/8/8/8/5r2/n7/4K3 b - - 100 170
draw by insufficient material | 5K2/8/8/7k/8/8/8/8 b - - 0 198
black win | 8/8/5k2/5b1K/8/8/7q/8 w - - 85 228
draw by insufficient material | 8/8/6k1/8/8/4K3/8/8 b - - 0 173
white win | 3k4/1n1Q4/1KP3Bp/8/4P3/5p2/8/3N4 b - - 21 131
draw by stalemate | 8/8/4B3/5N1k/8/6R1/1K6/8 b - - 38 131
black win | 3k1r2/2p5/4R3/3b1pb1/1Q1p1nPp/pP1n3K/3pP2P/4N2R w - - 6 49
draw by stalemate | 4B3/8/8/3Q3K/8/k1B5/8/8 b - - 20 172
draw by insufficient material | 8/8/1K6/8/1n4k1/8/5B2/8 w - - 0 127
draw by insufficient material | 8/8/8/8/K4k2/8/8/8 w - - 0 216
white win | rn1q4/ppp2N2/2k1B1p1/R2pp1bp/8/1P2B2P/4PP2/2Q2KNR b - - 5 24
draw by insufficient material | 8/8/8/8/8/1k6/8/4K3 b - - 0 279
draw by 50 move rule | 5q2/1K6/8/8/4n3/8/3k4/8 w - - 100 193
draw by 50 move rule | 8/1k6/8/2K2N2/8/8/8/8 w - - 100 193
draw by insufficient material | 8/8/2N5/8/7b/8/2k1K3/8 b - - 0 129
draw by stalemate | 7k/8/7K/8/2B5/8/8/8 b - - 88 194
draw by insufficient material | 8/8/1kbN4/8/6K1/8/8/8 w - - 0 178
draw by insufficient material | 8/8/1K5k/8/8/8/8/8 b - - 0 252
draw by 50 move rule | 7K/8/8/8/3k4/8/6R1/8 b - - 100 207
draw by 50 move rule | 8/8/K2k4/8/8/6b1/8/6R1 b - - 100 183
draw by 50 move rule | 8/8/2k5/5R2/5K2/8/8/8 b - - 100 203
black win | r6r/3b3p/2kqp1pn/1p5P/ppKPp3/PPP2B2/RB1b4/1N4R1 w - b6 0 46
draw by insufficient material | 8/1K6/7k/8/8/8/8/8 b - - 0 182
draw by stalemate | 8/1q6/4k3/K7/P7/8/8/8 w - - 9 202
black win | 2b2B2/p2kBp1n/7p/1p1n4/1PP3Pp/7R/P1BPP3/3QK1q1 w - - 4 37
black win | 7r/k2n4/8/3pbpp1/1p6/1p6/2p5/K7 w - - 2 114
draw by insufficient material | 8/8/4k3/8/K7/8/8/8 w - - 0 180
draw by 50 move rule | 8/8/8/2k5/8/R7/K7/8 b - - 100 223
draw by insufficient material | 8/8/8/2k4K/8/8/8/8 w - - 0 360
black win | 8/3b4/p2Q1P2/k7/P5P1/K1r5/R2q1p2/n7 w - - 0 62
white win | 1kR5/7p/Q7/1Pp1P3/2P2r1B/2n2B2/6KR/2b5 b - - 4 56
draw by 50 move rule | 1k6/8/8/K7/8/5B2/8/8 b - - 100 185
draw by insufficient material | 8/8/8/3k4/8/K7/8/8 w - - 0 161
draw by 50 move rule | 8/8/5k2/8/K7/8/8/7N b - - 100 305
draw by insufficient material | 8/3k4/8/8/8/8/8/7K w - - 0 194
draw by 50 move rule | 8/3k1K2/6N1/8/8/8/8/8 b - - 100 239
draw by 50 move rule | 8/8/6K1/n7/8/8/8/6k1 b - - 100 201
draw by insufficient material | 8/7k/8/6K1/8/8/8/8 b - - 0 266
draw by insufficient material | 8/8/4n3/4N2K/8/8/2k5/8 w - - 0 226
draw by stalemate | 7N/K1k5/1N6/3Q3P/3P3R/8/8/8 b - - 4 120
black win | 1n6/rk1b4/8/1PP1P3/1N2PP1r/5q2/1P1b4/1r4K1 w - - 0 58
draw by insufficient material | 8/7k/8/5b2/8/1N6/8/2K5 b - - 0 143
black win | 2b4r/1pppkppp/2B5/r1P2n2/P2bPn2/N2P1P1P/4K1P1/1Qq5 w - - 2 27
white win | rnbqkbn1/1p1pp1pr/p5Q1/2p2p1p/8/2P5/PP1PPPPP/RNB1KBNR b KQq - 1 6
draw by insufficient material | 3K4/8/8/5k2/8/8/8/8 w - - 0 195
draw by 50 move rule | 8/8/8/p7/P7/6k1/2K5/8 w - - 100 201
white win | rq5r/pB4p1/2R1p2p/2kpP1p1/2P1n1P1/1PP2n1P/4N1KQ/7R b - - 1 40
draw by insufficient material | 8/8/8/8/7K/8/8/6k1 w - - 0 161
draw by 50 move rule | 8/2N5/2k2r2/8/1K6/7N/8/8 b - - 100 216
draw by stalemate | 8/1n6/p5r1/8/8/7k/3n4/7K w - - 66 169
white win | 5Bn1/4Q3/b2P2k1/4p3/1p2P3/5B2/r4P2/4K1R1 b - - 0 60
draw by insufficient material | 8/K7/8/8/8/k7/8/8 b - - 0 210
white win | 1b3Q2/N6k/2B4R/8/8/K7/8/6q1 b - - 3 122
draw by 50 move rule | N4k2/7K/8/8/8/8/8/8 b - - 100 214
draw by stalemate | 7k/8/K7/1p2r3/7p/1n3b2/5b2/8 w - - 8 132
draw by 50 move rule | 8/8/8/1k6/8/2B5/4K3/8 w - - 100 247
black win | 1r4n1/8/1p6/1p1k3P/3p3N/P1RK2p1/1n5r/2R5 w - - 13 77
draw by 50 move rule | 8/2K5/8/8/7p/7P/6k1/8 w - - 100 266
draw by insufficient material | 8/8/8/7k/8/4K3/8/8 w - - 0 166
draw by insufficient material | 8/8/8/8/6k1/8/8/1K6 w - - 0 264
draw by 50 move rule | 8/1k6/8/8/6R1/3K4/8/8 b - - 100 214
white win | 7r/2Q5/p2Rk3/PP4p1/2p1K3/8/4B2r/R1B5 b - - 0 60
draw by 50 move rule | 8/8/1p4K1/pP6/P4k2/8/8/8 b - - 100 269
draw by insufficient material | 8/6k1/8/8/8/8/5K2/8 w - - 0 180
draw by 50 move rule | 8/6N1/4k3/8/8/8/2R4K/8 b - - 100 162
draw by 50 move rule | 8/8/8/3K4/8/8/2k3r1/8 w - - 100 231
draw by 50 move rule | 8/8/5R2/8/8/1B2k2p/7P/4K3 b - - 100 178
draw by stalemate | r4bk1/8/8/r7/8/p1q5/8/2nK4 w - - 1 105
draw by insufficient material | 8/8/8/8/6k1/4K3/8/8 b - - 0 163
black win | 8/B7/8/8/p7/Pk6/5b2/1K5q w - - 0 141
draw by 50 move rule | 8/2BK3k/8/8/8/8/8/8 w - - 100 253
draw by insufficient material | 8/8/5k2/8/5K2/8/8/8 b - - 0 179
draw by 50 move rule | 8/5B2/3K4/8/8/8/3k4/8 w - - 100 198
draw by 50 move rule | 4K3/8/k7/8/p7/P3B3/8/1b6 w - - 100 180
white win | r4b1r/6p1/2npqnPp/2pk1P1R/1pPPp1b1/P7/1B1N1K2/1R6 b - - 0 32
white win | 1R1k4/7n/3P3N/2p2Qp1/1p4Pp/B2P3n/8/1R2K3 b - - 1 52
draw by 50 move rule | 8/2n2r2/8/1k6/8/8/4K3/8 w - - 100 206
draw by 50 move rule | 3k4/8/7n/8/8/3b4/8/3K3N b - - 100 234
white win | R1kN4/5R2/1B6/4N1P1/4P3/2P3p1/4b1KP/2n2N2 b - - 1 75
draw by insufficient material | K7/8/8/4k3/8/8/8/8 w - - 0 217
draw by insufficient material | 8/4K3/8/8/8/8/6k1/8 w - - 0 148
draw by 50 move rule | 8/2NK4/4B3/8/8/8/8/5k2 b - - 100 200
draw by 50 move rule | 8/5b2/1K1b4/8/8/8/8/4k3 b - - 100 167
draw by 50 move rule | 8/8/6K1/8/3kN3/8/8/8 w - - 100 222
draw by insufficient material | 8/8/8/4b3/8/2k5/B5K1/8 b - - 0 224
white win | 2bk1Q2/2pp4/1p4r1/4P1p1/1pP1qP2/5B1P/4P3/B4KNR b - - 2 40
draw by 50 move rule | 8/8/8/6B1/8/1K1k4/8/8 w - - 100 244
draw by insufficient material | 8/8/8/8/K2k4/8/8/8 w - - 0 229
draw by 50 move rule | 5b2/8/8/8/2K5/8/8/5k2 w - - 100 169
draw by stalemate | 8/8/8/8/8/5br1/2k2b1K/2n5 w - - 14 199
draw by insufficient material | 8/3k4/8/2b5/4B3/8/8/2K5 b - - 0 177
draw by insufficient material | 8/8/8/7k/8/8/8/2K5 w - - 0 179
draw by stalemate | 8/8/8/2n4p/4p3/5q1b/q7/2K3k1 w - - 24 161
draw by stalemate | 8/8/3Q4/5Q2/8/8/8/K1N1k3 b - - 25 144
white win | k5R1/p7/P2P4/8/7p/3Kb2P/2P1P3/2B2B2 b - - 21 65
draw by insufficient material | 8/8/8/8/8/4k3/8/5K2 w - - 0 165
white win | Q3k3/5R2/4K3/2P5/2N1P3/5P2/8/8 b - - 5 99
draw by 50 move rule | 3K4/8/3b4/8/8/8/5k2/8 w - - 100 232
white win | 8/k7/1R6/Q3P3/b2K4/2p1N2p/1B6/6b1 b - - 9 87
draw by 50 move rule | 8/8/5B2/6K1/8/8/8/6k1 w - - 100 197
draw by insufficient material | 8/7k/1K6/8/6n1/2B5/8/8 w - - 0 132
draw by insufficient material | 8/8/8/8/8/3K4/8/6k1 b - - 0 164
draw by 50 move rule | 8/8/8/1k5K/8/8/8/R7 b - - 100 249
draw by insufficient material | 8/6K1/8/8/8/8/8/2k5 w - - 0 231
draw by 50 move rule | 8/8/8/K3k3/5R2/8/8/8 b - - 100 198
draw by insufficient material | 8/8/7K/8/8/8/8/k7 b - - 0 196
draw by insufficient material | 8/8/8/8/1K6/6k1/8/8 w - - 0 222
draw by insufficient material | 8/3k4/8/8/8/8/5K2/8 b - - 0 174
draw by insufficient material | 8/8/3k4/1K6/8/8/8/8 b - - 0 137
draw by insufficient material | b3k3/8/8/8/7B/7K/8/8 w - - 0 186
white win | R3k1rN/R4rPp/3P4/4p1B1/b2P4/1p6/1K4NR/1B6 b - - 2 50
draw by insufficient material | 8/4N3/5k2/8/8/8/n7/7K b - - 0 226
draw by 50 move rule | 8/2N5/3K4/8/8/8/1N6/k7 b - - 100 249
draw by insufficient material | 8/8/8/8/8/5k1K/8/8 b - - 0 183
draw by 50 move rule | 8/8/8/P6K/8/8/4Q3/1k6 w - - 100 323
draw by insufficient material | k7/8/8/8/6K1/8/8/8 b - - 0 170
draw by 50 move rule | 8/8/8/K7/6k1/5q2/8/8 b - - 100 231
draw by 50 move rule | 8/N7/K7/2k5/8/8/8/8 b - - 100 182
white win | Q7/8/k7/8/1K1B4/1Bn4b/8/b7 b - - 2 130
white win | 3N1R1k/7p/pr5N/4b3/1p2p3/1P6/6R1/1B4K1 b - - 7 74
draw by insufficient material | 8/8/4k3/8/n4K2/4N3/8/8 b - - 0 179
draw by 50 move rule | 8/3k4/6K1/8/8/8/8/5Q2 b - - 100 210
draw by 50 move rule | 8/8/8/5n2/8/4k3/K7/8 b - - 100 224
draw by insufficient material | 8/8/1k6/8/8/8/8/2K5 b - - 0 110
draw by 50 move rule | 8/3k4/8/8/7B/8/8/K7 w - - 100 245
draw by 50 move rule | 8/8/7k/8/8/p7/P7/3K4 b - - 100 262
draw by 50 move rule | 8/3k4/b7/8/1K6/8/8/8 w - - 100 203
draw by insufficient material | 8/8/7k/3K4/8/8/8/8 b - - 0 143
draw by 50 move rule | 4k3/8/p7/P5R1/8/8/8/K7 b - - 100 154
draw by stalemate | k1N5/2K5/8/8/8/8/8/5B2 b - - 2 173
draw by 50 move rule | 8/4k3/8/p7/P2K4/5B2/8/3B4 b - - 100 245
draw by insufficient material | 8/6k1/8/8/8/8/4K3/8 b - - 0 194
draw by 50 move rule | 4K3/8/8/8/k7/7P/3N4/8 b - - 100 260
