white win | 1r2kR2/p3pR1p/b3q2n/P2NN1B1/3PP1P1/2nQ4/7P/4R1K1 b - - 0 26
white win | 2Qk2r1/3P3r/6p1/p2NB2p/P2PP3/4RN2/7P/3R2K1 b - - 2 31
white win | rn2k1nr/p2b1Qpp/2p5/1B1NN1B1/3PP3/b7/PPP2PPP/R4RK1 b kq - 0 11
white win | 1R2kbnr/4ppp1/2p2n2/1B1QNP1p/4P3/2N1P3/2PB3P/4RRKb b k - 0 22
white win | 1nb1kr2/rpNp4/2P1pBp1/PB2NRP1/P2PP2p/b2Q4/7P/4R1K1 b - - 0 23
white win | 1r2k3/PP1BP3/3PPp1r/8/3P3p/8/2n4P/6K1 b - - 0 36
white win | 7R/2PP4/8/2PBN1pk/4P2p/8/7P/4R1K1 b - - 2 52
white win | rnb1kb1r/p1pp2p1/1pn3Q1/1B2N1Bp/3PP3/2N5/PPP2PPP/4RRK1 b kq - 2 12
white win | 2bqkb1r/1r1pp1pp/nppN4/pB4B1/3P2n1/3Q1N2/PPP2PPP/4RRK1 b k - 3 11
white win | 1r2kbnr/ppNb1ppp/2n1p3/1B4B1/1q1PP3/3Q1N2/PPP2PPP/R4RK1 b k - 0 10
white win | r1bqkr2/p2p3p/np1N2p1/1Bp1NPB1/1PPP4/b2QR3/P5P1/5RK1 b q - 1 17
white win | rnb1k1nr/2pp1Qpp/pp6/1B2N1B1/3bP3/2N5/PPP2PPP/R4RK1 b kq - 0 10
white win | 4R1Q1/3P1k2/1p1R4/1P1N4/7p/8/7P/6K1 b - - 0 38
white win | r2qk2r/pp3Qnp/2n4b/1BpNN1B1/3PP1b1/8/PPP2PPP/R4RK1 b kq - 0 11
white win | 3qkb2/1rPb4/n4RQ1/pB1NN3/P2P2p1/8/7P/4R1K1 b - - 2 30
white win | 1n2k2r/2PpP3/b2P1pQp/1r2N3/P2P2p1/4R1P1/7P/3R2K1 b - - 2 31
white win | rn3R1Q/1p2P2k/4P1p1/pB4B1/P3P3/7p/7P/4R1K1 b - - 1 32
white win | rnbq1k1Q/1p1p4/2n1P1pp/pB1N1rB1/1PP1PP2/8/P6P/4RRK1 b - - 2 19
white win | rnb2b1r/pp2k1pp/8/1BpPPQB1/2PP4/8/PP4PP/4RRK1 b - - 2 17
white win | r1bqk1nr/1pp2Q2/2np2pb/pB2N1Bp/3PP3/2N5/PPP2PPP/R4RK1 b kq - 0 10
white win | rn1q4/p3b2p/bpp1k1p1/PBPNN1P1/1P1PP3/7Q/7P/4RRK1 b - - 1 24
white win | r2q1kn1/2pp2p1/b2N1BN1/3B1P1r/pP1PP3/3Q4/P1P4P/4RRK1 b - - 2 21
white win | 3bk1r1/1r1p2P1/1p1N1P2/1PPBN2p/3Q2n1/p7/P6P/4RRK1 b - - 2 27
white win | 3Q4/1PP1k3/3R4/4N3/7p/7P/8/4R1K1 b - - 0 90
white win | r3kbr1/p1N3pp/q1np3n/1bp1NpB1/3PPP2/3Q4/PPP3PP/4RRK1 b q - 4 13
white win | rnb1k3/1pNpPp2/5Bp1/1P2Nr2/PP1PP1p1/3Q4/7P/4RRK1 b - - 1 23
white win | 3rk1R1/Pp2p3/q4B2/P2pN3/1P1nN1P1/3Q3p/7P/4R1K1 b - - 1 27
white win | 2Rk1b2/1p3Pr1/4B1Qn/3NN2p/3PPP2/2n5/7P/4RRK1 b - - 0 30
white win | 1R2k1n1/1p1np1br/p5p1/1B2N1Bp/2PPNP2/3Q1P2/P6P/4RRK1 b - - 0 19
white win | 1n1k1Rn1/4q1r1/2r1P1pb/2PNP1B1/3PQ2p/8/7P/4RRK1 b - - 0 30
white win | r1b1k2r/ppNp3p/5Qp1/1B2N1b1/2PPP1n1/8/PP3PPP/4RRK1 b kq - 0 15
white win | 2R5/1rk3P1/b2pB2p/P2PN3/3PP2b/3QR2P/8/3n2K1 b - - 2 31
white win | 1n1qkb1r/6p1/1p2P1Q1/1P1NN1Bp/r1PP1P2/5P2/7P/4RRK1 b k - 2 23
white win | r1bQkb1r/pp1n1p2/2q4p/3NN1B1/2PpP3/8/PP3PPP/4RRK1 b k - 1 14
white win | rnQ1kbr1/1p1ppppp/p7/1p2NnB1/3PP3/2N5/PPP2PPP/4RRK1 b q - 0 12
white win | 2b1k2r/rp2Q3/n3pnp1/P2NNpqp/3PPPP1/8/P6P/4RRK1 b - - 2 20
white win | 1rb2R2/3p1k2/3B4/1PPN1P1p/p2QP3/3P4/P6P/4RRK1 b - - 0 28
white win | 2Q1kbnr/rp1p1p1p/3qp1p1/3NN1B1/pP1PPPP1/8/P6P/4RRK1 b - - 0 18
draw by threefold repitition | 4R3/P1PP3k/8/3B4/8/8/8/6K1 b - - 26 87
draw by threefold repitition | 8/1PP5/6k1/3NQ3/8/8/8/6K1 w - - 11 83
white win | 8/3P1P2/p1Qk1P2/P3N2p/3P4/8/7P/4RRK1 b - - 2 37
white win | 1r2kb2/2npP3/bp1B2Qp/pBPNN1P1/P1PP4/8/8/4R1K1 b - - 0 27
white win | r3kbn1/p4Q2/2n3Pp/PPP1P1B1/4N3/8/5P1P/4RRK1 b q - 0 22
white win | 3k4/1PPppP1r/b6b/3NPR2/2pPP2p/2P5/r6P/4R1K1 b - - 0 29
draw by threefold repitition | 8/k4PP1/4N3/1B1NP3/8/3R3p/7P/4R1K1 w - - 14 55
white win | r1bk1br1/P3pN2/2B3p1/2PN1Rp1/3PP1P1/3QP3/8/4R1K1 b - - 2 26
white win | 2rk4/2pP1p1r/2NpP2p/1P1N4/1P1PP2b/3Q4/7P/4RRK1 b - - 2 24
white win | 6kr/4P2p/1p3P1b/3QN3/P2P1P2/8/7P/4RRK1 b - - 0 29
white win | rn2kbr1/3pPQp1/b7/1Bp1P1B1/p1P1P2p/2P5/P6P/4RRK1 b q - 3 22
draw by threefold repitition | 8/1P2PPk1/4PR2/3N4/8/8/7P/4R1K1 w - - 11 56
white win | 1n1k3r/1b1PQ3/6pb/rBPN2B1/P6p/8/7P/3R2K1 b - - 0 27
white win | rnR1kb1r/7p/p5p1/1b1NN1P1/1P1PP1P1/3Q4/P4n1P/4RRK1 b kq - 0 20
white win | r1b4r/p1pp3p/np2kQpn/1B1NN1B1/1b2P3/8/PPP2PPP/4RRK1 b - - 0 12
draw by threefold repitition | 6k1/P2P4/8/4N1B1/4Q3/3R4/8/6K1 b - - 16 83
white win | 4r2r/2Pkp1b1/4Qp2/P1PN1PB1/4P2p/3R4/7P/4R1K1 b - - 2 33
white win | 7r/2PP1Qk1/7p/4N3/4P3/8/7P/4R1K1 b - - 2 41
white win | 1rq3nr/1pp2p1p/p1Bkp1p1/2PNNbB1/3PPP2/2bQ4/PP4PP/4RRK1 b - - 0 15
white win | rnq1kb2/p2p2pr/bp4Qp/1BpNN1B1/2PP1PP1/8/PP5P/4RRK1 b - - 2 16
white win | r1b1kRnb/pp2p1P1/n6r/1q1PN1B1/P2QN1Pp/8/7P/4R1K1 b q - 1 23
white win | r1b1kb1r/ppqp1Q1p/n1p5/1B2N1B1/3PP1n1/2N5/PPP2PPP/4RRK1 b kq - 2 12
white win | 4kR2/2P5/2p5/3NN2p/p2PP2b/P6P/8/r4QK1 b - - 0 34
white win | 2rk4/pp2BPpr/2B1p3/2PNP2p/1P1PP3/3q4/b6P/4R1K1 b - - 0 24
white win | rnbqk2r/3p1Qbp/2p5/pB2N1B1/3PN3/8/PPP2PPP/R4RK1 b kq - 0 11
white win | rnbqk1nr/2pppQ2/pp6/1B2N1B1/3PN2p/8/PPP2PPP/R4RK1 b kq - 1 11
white win | q3k2r/1r1pPn2/1pBB1Npb/p1P1N2p/P2QP3/8/7P/3R2K1 b k - 2 26
white win | 2bqkbnr/rppp1Q2/p7/1B2N1Bp/1n1PP3/2N5/PPP2PPP/R4RK1 b k - 0 10
white win | 1n1qkbr1/3ppPp1/2B4p/2PPN1B1/p2PPPn1/3Q4/P7/4RRK1 b - - 0 21
white win | r1bqkbn1/3pp1pr/1p1N3p/pBp3B1/3P4/3Q1N2/PPn2PPP/4RRK1 b q - 1 11
white win | 3rkbr1/pbNpp1P1/q6n/1BP1N1B1/2PPQ1p1/8/7P/4RRK1 b - - 2 25
white win | r1b2qnr/2p1p2p/n2p3b/pB2NkB1/2PPN3/7Q/PP3PPP/4RRK1 b - - 4 13
white win | 4k2r/1rP1Q2p/ppp3pn/1B1N1PB1/PPP5/8/1b5P/4RRK1 b - - 0 23
white win | 4rr2/1P1kP1p1/4n3/1Q1NB2p/p2PP3/P3RN2/5P1P/3R2K1 b - - 5 30
white win | 2rqkRn1/2PpP2r/2B3p1/3P2B1/1pbPP1Pp/8/7P/4R1K1 b - - 0 25
white win | 3r3b/P4P1k/P1pp1P2/3NN1B1/3P4/3Q3p/7P/3R2K1 b - - 0 37
white win | rnb1k1n1/p2p1Qp1/1pp4r/1B2N1Bp/1b1PP3/2N5/PPP2P1P/R4RK1 b q - 0 12
white win | Q1k2b2/p3pprn/bP5p/1BP1NPP1/2PP1P2/8/8/4RRK1 b - - 0 26
white win | 1n2k1R1/1P3p2/1P1BP2p/3P4/3Q2p1/8/7P/3R2K1 b - - 0 40
white win | r3kbnr/2Nb1p2/1pp3p1/pB2p1B1/1PP1P1Pp/5Q2/P4P1P/4RRK1 b k - 2 17
draw by insufficient material | 8/8/8/4kb2/8/8/8/4K3 b - - 0 166
draw by threefold repitition | 6k1/2PP4/p2P4/P7/5p2/5P1p/3R3P/3R2K1 w - - 24 63
white win | 1rbk1R1n/3pp3/qpn2B1r/1P1NN1P1/3PP2p/P2Q4/P6P/4RRK1 b - - 0 22
white win | 1r2k1nr/1b1Q2p1/n3p1P1/pBP1N1P1/P1P1N2p/8/7P/4RRK1 b k - 0 24
black win | 2r5/1b1P4/4k1pr/P2N2B1/3PB1p1/3Q4/7q/4RRK1 w - - 0 29
white win | rn1k3r/1pp1Bppp/p2p4/1B1NN3/3PP1Q1/8/PPP2PP1/R4RK1 b - - 0 13
white win | r3kbnr/2Nn1ppp/1pp3q1/4N1B1/PpPPPPb1/3Q4/1P4PP/4RRK1 b kq - 2 15
white win | rn2kb1r/2Nb2pp/qpppp3/pB2NpBn/2PPPP2/3Q4/PP4PP/4RRK1 b kq - 2 14
white win | 2R1k3/r4pr1/p1P5/3NNpPp/P2PP3/1q1Q4/7P/4R1K1 b - - 0 27
white win | rnb2bnr/pp1pp1pp/4kp2/1B1Q4/4P3/2q2N2/PPP2PPP/R1B2RK1 b - - 2 8
draw by threefold repitition | 7k/2P2P2/2P3p1/2PRN1B1/4Q3/4R3/8/6K1 b - - 14 56
white win | 4Q3/pPPP1k2/P7/4Q3/8/7p/7P/4R1K1 b - - 0 58
white win | 2rqkb1r/4pB2/p2p2pp/4NP2/1p1PP3/2NQ4/P1P2P1P/4RRK1 b k - 1 18
white win | 3rkbn1/2qppBp1/bp3p2/2p1N1Br/p2PPP1p/2NQ4/PPP3PP/4RRK1 b - - 2 14
white win | 2kr3r/p1Q2p1p/1pn4n/3N2P1/1PBBP3/4P3/P1P3PP/3bRRK1 b - - 6 18
white win | r1b1kbnr/2Nn1p2/1pp1p1p1/pB2N1Bp/2PPP3/3Q4/PP3PPP/4RRK1 b kq - 0 13
white win | r1bqk1nr/pppp1Qp1/n7/1B2N1Bp/3Pp3/2N5/PPP2PPP/R4RK1 b kq - 1 10
white win | r3kbr1/pp1b1B2/5B2/P3NP2/1n1PP1Pp/2N1R3/2P3P1/3R2K1 b - - 2 24
white win | 2b1k2r/r1b1Q1pp/2p4n/PB1Nn1B1/P1PPP3/6q1/5PPP/4RRK1 b k - 1 17
white win | rnbqkb2/pppp1Q1p/8/1B2N1r1/3PP3/2N5/PPP2PPP/R4RK1 b q - 0 11
white win | 3Rkr2/rp2P1bp/2p4n/1B1NN1B1/pPQPP1P1/8/P5bP/4R1K1 b - - 0 22
white win | r3k3/ppNbPp1r/2p3pp/1B2N1B1/P1PPP1P1/3Q4/7P/4bRK1 b q - 2 22
100 game(s) computed in 283078ms
