white win | 1r2kbr1/p1pp1B2/b7/Pq2N1Bp/3PP1P1/2NQ4/2P4P/4RRK1 b - - 0 21
white win | 2R1k3/4Pp2/2P5/3NN1Bp/3QP3/r7/P7/4R1K1 b - - 0 33
white win | 3k1R2/3P4/np3p2/1PPNN2p/4P3/3Q4/7P/3R2K1 b - - 0 31
white win | rnb1q2r/1p1pk2p/p1pb1Q1n/1B2N1B1/3PP3/2N5/PPP2PPP/R4RK1 b - - 0 10
white win | 2r1k3/P1PQP3/bp6/4N3/4P1p1/8/8/3R2K1 b - - 2 37
white win | 1nbk4/r2p1Nb1/1p4pr/1BPN1PP1/pP1Q4/8/P7/4RRK1 b - - 2 28
white win | 1nR1kb1r/p1p4p/5pp1/3NN1B1/PP1QPPP1/8/7P/4RRK1 b - - 0 21
white win | rnQ1k1n1/pp2ppbr/6pp/3N2B1/3NPq2/8/PPP3PP/4RRK1 b q - 1 14
white win | r1b2kR1/P2pbP1p/1p3p2/3NNP2/1P2P3/1P6/7P/3R2K1 b - - 0 29
white win | 5b2/2PQkPPr/1r2P3/PP2P1p1/8/8/7P/4RRK1 b - - 2 34
white win | r1bk3Q/pq2n2p/3P4/1P1NN1B1/3PPPP1/b7/P6P/4RRK1 b - - 0 20
white win | rnb2bnr/ppp2kpp/1q2p3/1B1NNpB1/3PP3/8/PPP2PPP/R2Q1RK1 b - - 4 9
white win | 3r4/p1pP1R2/b1P4k/Pq1BN2p/3PP3/4Q3/7P/4R1K1 b - - 2 31
white win | rnbqkb1r/pp1pnQ2/2p3pp/1B2N1B1/3PP3/2N5/PPP2PPP/R4RK1 b q - 0 10
white win | r1b1kb2/2P2Qp1/5BP1/4P3/4P2p/p7/P4K1P/q7 b - - 2 33
white win | 8/2PP1P2/1p1P3p/3PNRk1/4Q3/8/3R4/6K1 b - - 1 46
white win | rnbqk1n1/5Q2/ppp3p1/PBPNN1B1/1P1PPPpr/8/7P/2b1RRK1 b q - 2 20
white win | r1b1kR2/2qpP1r1/1p5p/pBPPN1B1/P2PP1n1/3Q4/7P/4R1K1 b - - 0 25
white win | r1b1k2r/pppp1Q1p/2n3pq/1Bb1N1B1/3PPP2/2N5/PPP3PP/4RRK1 b q - 0 13
white win | 1r6/2P5/8/3NN1kp/5Q2/1p6/8/4R1K1 b - - 1 77
white win | 1nb1kR2/3p3p/1p1BP3/rP6/1P1PP3/8/7P/4R1K1 b - - 0 28
white win | r1b1k1nr/2pp1Q2/1p2n1p1/pB2N1Bp/3PP3/b1N5/PPP2PP1/R4RK1 b kq - 0 12
white win | 1rbq1n2/1ppp2Qk/4N3/pB1N2B1/PbP1PPPp/3P4/1P5P/4RRK1 b - - 0 19
white win | rnb1kbr1/3pPQ2/pp1P4/PBPNN3/3PP1p1/8/7P/3R2K1 b q - 0 25
white win | 3rkb1r/1bNpn1Pp/1P1B4/1B2N3/p1PQP3/8/P6P/4R1K1 b k - 2 25
white win | r1b1k1R1/2pp1R2/8/1BP1N3/p3N2p/3Q4/Pb5P/4R1K1 b q - 0 26
white win | 5rk1/p1ppNp1p/bp4pn/1BP1Q1B1/P1PNP1P1/3P4/7P/4RRK1 b - - 1 21
white win | 2b2kr1/1P2Q3/1P3Bp1/r3P1P1/4P2p/2N5/2P4P/4R1K1 b - - 2 28
white win | r1bk1r2/p2pBPp1/np6/1B1NN2p/2QPPP2/8/PPP4P/4RRK1 b - - 2 20
white win | r1b3kr/3pPP2/3P1B2/PpPNN2p/4Q3/8/7P/4RRK1 b - - 0 32
draw by 50 move rule | 8/8/3k4/8/8/4K2p/b6P/8 b - - 100 192
white win | 5knr/1bpPp1b1/1p4N1/r2B1pBp/p2PPPp1/2NQ4/P1P3PP/4RRK1 b - - 2 18
white win | 1rbq1r1B/3pkp2/ppp5/1BPP3p/2PN1PP1/3Q4/P6P/4RRK1 b - - 2 20
draw by threefold repitition | 8/PPP5/6k1/3NQ3/4P3/7p/7P/3R2K1 w - - 10 58
white win | rn1Qk3/1b2P2r/pp4pb/4N1P1/4N3/8/1P5P/4RRK1 b q - 2 22
white win | 5RQ1/1PPP2k1/6p1/p3N1P1/4P2p/8/7P/4R1K1 b - - 1 36
white win | r2nkbr1/2Nbp1pp/1p6/pq2NpB1/2PPQP2/8/PP4PP/4RRK1 b q - 0 15
white win | r1b3rk/pp1npNb1/3B4/1BPN1Q1p/2PP1Pp1/8/P5PP/4RRK1 b - - 2 20
white win | rn2bkr1/5Pbp/1P4P1/2QPN1B1/4P3/8/7P/3qRRK1 b - - 2 27
