black win | r2q1rk1/pppn1p1p/8/3pp3/4n1b1/1PBP3P/P1N2pP1/1R1QKBNR w - - 0 14
black win | 4r1k1/5r1p/p2b3P/Pp6/1K1p4/3rn3/4p3/8 w - - 6 67
draw by threefold repitition | 5k2/8/8/3q3P/3p4/4p3/4Pp2/1K6 b - - 10 74
black win | r4rk1/ppp4p/2n5/P2bP1P1/4n3/1Pp1b3/5qp1/1RBQK3 w - - 0 27
draw by threefold repitition | 3k4/8/4r3/1K1b4/3r4/8/3p1pp1/8 w - - 8 76
black win | 6k1/ppp5/2n1rK1p/8/P1pnp3/1PP5/1B5P/2R4R w - - 2 37
black win | r2q4/4n3/bpp2k2/2Bp4/3Pn3/4P1R1/P1N2pB1/R4K2 w - - 2 32
black win | 6k1/r6p/4r2P/3n4/4n3/2p5/2p2p2/K7 w - - 1 58
black win | 4rk2/8/1p6/p1pp4/4q3/8/3K4/r3q3 w - - 0 67
black win | r5k1/4r3/8/p1b2b1P/P2p4/1P6/K7/1q6 w - - 4 66
black win | 6k1/1p6/4rK1p/1Nn4P/6b1/8/3pp3/1R6 w - - 2 53
black win | 4r1k1/pp2n1p1/8/4p3/P2pn2p/1p6/2q2BpP/2K5 w - - 0 49
draw by threefold repitition | 4rrk1/p6p/7P/4n1b1/8/3p4/5pK1/8 b - - 11 55
draw by threefold repitition | 2K2k2/8/8/8/3n4/4b3/8/8 b - - 32 98
black win | 2rk4/p6p/8/2p4P/3nnp2/2b5/8/2K2q2 w - - 0 57
black win | r1bqkb1r/ppp2p1p/2n5/3pp2K/5P2/2P3nP/PP1PP1P1/RNBQ1BNR w kq - 2 9
black win | r1b1kb1r/pp1n1pp1/8/2pB4/2Pp2nq/P1N5/RP1P1pP1/2B2R1K w kq - 0 17
black win | rnb2rk1/pp2b2p/2p5/2P1p2n/P2q1p2/1P3p1P/5pPN/1NB1KB1R w K - 0 18
draw by threefold repitition | 4r1k1/pp1K2p1/8/2p4p/P1P1n2P/6R1/N3prp1/8 b - - 11 57
black win | r3kb1r/pp2p2N/2nq4/1PKp4/8/P3Qb2/R1PP2pP/1N3B1R w kq - 1 19
black win | rn3knr/8/p2p1q1p/3p1b2/B6P/PP2b2R/R5P1/1N1K1qN1 w - - 0 27
black win | r4rk1/pp5p/P1pp4/4q3/RPPK2bb/3B3R/3P2P1/1NB3N1 w - - 2 25
black win | r5k1/8/7p/7P/8/K2b4/3p1p2/1r6 w - - 12 107
black win | 3q1k2/5p2/3ppn2/p2n2Kr/P1n1b3/1P6/4p2P/R2R4 w - - 1 38
black win | rnb1k2r/pp5p/2p1P2n/2b5/1Pp5/6p1/P2NPqP1/R1BQKBNR w Qkq - 1 15
black win | r2qkb1r/1p5p/3p4/p1pPn1p1/P1P1n1b1/1PK1P3/1BN2PpP/RR4N1 w kq - 2 21
black win | 3r1rk1/ppp2p1n/8/2b1p3/2b2NP1/1P6/P1P5/2R1K2q w - - 0 33
draw by threefold repitition | 4r1k1/1p6/1p6/1P1n4/5p2/K4P2/4p3/8 b - - 28 129
