black win | 1r1n4/1P6/1P4P1/2Np4/p7/5k2/8/3r1K2 w - - 1 85
black win | N5n1/4pkp1/6p1/2P2BB1/p3Pp2/3P1P2/P1K1R3/2q4r w - - 3 43
draw by insufficient material | 8/4K3/7k/8/8/8/8/1b6 b - - 0 141
draw by 50 move rule | 8/1B6/2B3k1/2p5/1pP5/1P6/8/7K w - - 100 175
white win | b7/1r4b1/2p1p3/2QkNppp/p4P1P/3P1NK1/PB4PR/2R5 b - - 3 42
black win | B6r/1pbP2k1/nP1P4/2R5/q7/1r3Np1/K7/8 w - - 1 67
draw by 50 move rule | 5b2/8/8/1K4k1/6n1/8/8/8 b - - 100 187
draw by insufficient material | 8/8/8/1B6/3K4/5k2/8/8 b - - 0 176
draw by insufficient material | 8/4k2K/8/8/8/8/8/8 b - - 0 182
draw by insufficient material | 7B/4K3/8/4b3/8/8/8/5k2 b - - 0 184
draw by insufficient material | 8/1k6/8/5b1K/8/8/8/8 w - - 0 173
draw by 50 move rule | 8/6q1/2n5/8/K7/4k3/8/8 w - - 100 213
draw by insufficient material | 8/8/k4N2/8/8/8/8/2K5 w - - 0 239
draw by insufficient material | 8/3K4/8/1k6/2n5/8/8/8 b - - 0 183
black win | 2bqk1nr/Bpp1b2p/5pp1/p2pr3/2P3P1/PP1P1n2/4PP1P/RN1QKB1R w KQk - 1 16
black win | rnb1kbnr/pppp1p1p/6p1/4p3/1P4Pq/5P2/P1PPP2P/RNBQKBNR w KQkq - 1 4
white win | 1n6/7R/8/2N3rk/P1p2p2/5Pp1/2B5/2K3N1 b - - 3 63
draw by insufficient material | 8/2K5/8/1k6/3b4/8/8/8 b - - 0 182
black win | 8/8/N4k2/7P/p2q4/4KB2/8/3q4 w - - 1 91
black win | bnr3n1/r7/1p1R2N1/1k1q2pp/5p2/K1p2PPP/8/8 w - - 3 58
draw by insufficient material | 8/5k1b/8/8/8/5K2/8/8 w - - 0 139
draw by 50 move rule | 1R6/4k3/8/8/8/8/6K1/8 b - - 100 244
