draw by threefold repitition | rnbq2n1/pppk4/8/4p3/8/r7/6P1/3K4 b - - 11 25
draw by threefold repitition | rnbqkbn1/pp1ppp2/8/8/8/8/q7/4K3 b q - 15 45
draw by threefold repitition | rnbqkbnr/pppppq2/2q5/8/8/8/3K4/8 w kq - 18 36
black win | rnbqkbn1/p1pp1p2/8/8/8/8/2K5/1q2q3 w q - 2 30
draw by threefold repitition | rnbqkbn1/pppppp2/8/6K1/8/q7/8/8 b q - 9 27
draw by threefold repitition | rnbqkbn1/ppppp3/q7/8/8/1K6/8/8 b q - 27 44
draw by threefold repitition | rnbqk1nb/pppp4/q7/b7/8/8/8/1K6 b q - 17 39
black win | rnb1k1n1/pppp4/8/b7/r3p2q/8/7K/5q2 w q - 2 26
black win | rnb1kbn1/ppp2p2/2p5/4p1P1/1P2PK2/P1q5/8/8 w q e6 0 17
black win | rn2kb2/1b2n3/1p6/1P6/6p1/p1p3q1/2P5/7K w q - 2 35
black win | rnb1kbn1/pp1p1p2/qp3q2/8/8/2K5/8/3q4 w q - 2 50
black win | rnbqkbnr/pppp1p2/4p3/2K5/q2P4/8/P3PP2/8 w kq - 0 21
black win | 1nbqkbn1/1ppp4/8/8/8/3q4/4rK2/r7 w - - 4 27
black win | rnbqkbnr/p2p4/2p2p2/pK2p3/P1P5/7p/7P/8 w kq - 0 22
black win | rnbqkb1r/pppp4/5n2/3K4/Q1P4p/1P5P/P5P1/q7 w kq - 2 18
black win | rnbq2nr/pppk1p2/1b6/8/5P1p/7P/7K/6q1 w - - 1 26
draw by threefold repitition | rnbqk1n1/ppp5/4p3/8/3p4/b7/6K1/7r b q - 12 39
black win | rnbqkbnr/pp1pppp1/1p6/4N3/4P3/3P4/PPP2P1P/RNK1q3 w kq - 2 10
black win | rnbqkbn1/pp1pppp1/8/K1p5/2P5/1qr5/3PPP2/8 w q c6 0 15
black win | rnbqkb2/p1p1n3/P7/1p6/4p3/5p2/5q2/2K4r w q - 1 34
black win | rnbqkbn1/pppppp2/8/1q3K2/q7/8/8/8 w q - 16 31
black win | rnbqk1nr/ppp5/1b2p3/8/8/8/4K3/3q4 w kq - 8 34
draw by threefold repitition | rnbqkbn1/pppp1p2/3p4/5K2/8/r7/8/8 b q - 25 42
black win | rnb1kbn1/ppp1p3/2p5/3q4/3P4/PP4p1/8/2q3RK w q - 2 20
draw by threefold repitition | rnbqkbn1/pp2pp2/1p6/3pp3/8/2K5/8/7r b q - 15 44
black win | rnbqkbnR/ppppppp1/8/8/5P2/PP4q1/2PPP3/RNBQKB2 w KQq - 1 7
black win | rnbqkbn1/ppppppp1/q7/1KP5/1P6/3P4/4P3/8 w q - 2 16
black win | rnbqkbn1/ppp5/8/8/q5p1/4KqP1/8/8 w q - 2 32
black win | rnbqk1nr/pppp4/1q6/b7/q7/7p/K6P/8 w kq - 6 32
black win | rnbqkbnr/pppp4/2q5/8/8/qK6/8/8 w kq - 5 32
black win | rnbqkbnR/ppppppp1/8/8/1P6/2N2Pq1/PBPPP3/R2QKB2 w KQq - 1 7
black win | rnbqkbnr/pppp4/3p4/5p2/6K1/8/5q2/8 w kq f6 0 24
draw by threefold repitition | rnbqkbn1/pppp1p2/8/q7/8/3K4/8/8 b q - 16 40
draw by threefold repitition | rnbqkbn1/pppp1p2/q7/8/q7/8/3K4/8 b q - 31 51
black win | rnbqkbn1/pp1ppp2/1p6/3PP3/8/7r/7K/5q2 w q - 2 24
draw by threefold repitition | rnbqkbn1/ppppp3/8/q7/8/8/8/6K1 b q - 41 59
black win | rnbqk1n1/ppp5/1R1p4/8/8/P3b2K/5q2/8 w q - 0 26
black win | rnbqk1nr/pppp1p2/5p2/7q/P1P2PK1/3P4/5b2/8 w kq - 1 22
black win | rnbqkbn1/pp6/8/8/8/2Kp4/2q5/8 w q - 4 43
draw by threefold repitition | rnbqkbnr/pp6/8/8/q7/8/5K2/8 b kq - 31 54
draw by threefold repitition | rnbq2nr/pppk4/8/b3p3/4P2p/1K5P/8/8 w - - 12 45
