draw by threefold repitition | 6k1/3K4/8/8/4b3/8/3pp3/8 b - - 17 123
black win | 4r1k1/p6p/8/1Pp3p1/P2np3/1pK1n1pP/1Pr3P1/1R5R w - - 4 35
black win | 4rrk1/pp3p1p/3q4/2ppp2P/3n1pP1/PQb5/4Pn2/R1BK1BNR w - - 1 18
black win | 5rk1/K3rppp/3p4/p1n5/2n2pb1/5P1P/P3P1P1/RN3BNR w - - 6 27
black win | 3r2k1/7p/4r3/3p4/P3np2/4bP2/1pp2q2/1R3K2 w - - 0 35
black win | 4rrk1/pp4pp/7q/2p1p3/1bP1pp2/B2Pnb1K/P6P/RNNQ3R w - - 2 20
black win | 5k1K/8/8/8/8/8/1p1pp3/7r w - - 15 74
black win | 4rrk1/pp4pp/8/2p2pPP/1bp1b3/B1nPpn2/P1P4q/R3Q2K w - - 0 22
black win | r4rk1/ppp2ppp/2n5/1N1pp3/Pb2n1b1/1P6/1RPPNqPP/2BQKB1R w K - 0 11
black win | 6k1/p6p/8/3p4/R5pP/1P1Kq1P1/4r1p1/8 w - - 1 37
black win | 6k1/8/8/4p3/p3P3/P3K1rP/r4p2/8 w - - 2 56
draw by threefold repitition | 8/6k1/1K6/6P1/3p1p2/4p3/3pP3/r7 b - - 9 59
black win | 4rrk1/pp5p/1pn5/3b4/1b2pp2/4P1p1/P3K1P1/R1B1q3 w - - 0 31
draw by threefold repitition | 5k2/8/8/K7/3n2p1/6P1/3p4/8 b - - 23 117
black win | r1bqkb1r/pppp3p/6p1/4pp1K/1P1nnP2/N7/P1PPP1PP/R1BQ1BNR w kq - 0 8
black win | 4rrk1/p6p/3q4/2p1p3/p3n1p1/3p3P/1P1pb2R/1R2KB2 w - - 0 29
black win | 4rrk1/ppp4p/8/4ppp1/P1Pn4/N1bP2PN/1B2p2P/2RK2R1 w - - 0 22
draw by threefold repitition | 6k1/7N/6K1/p3r3/3p2PP/N3p3/PP5R/1RB5 b - - 16 41
draw by threefold repitition | 6k1/p6p/8/1ppr1K2/3p3P/1P1P4/P4p2/1QRB2r1 w - - 9 43
draw by threefold repitition | 4rrk1/ppp4p/8/3ppppR/8/1P1Pbn2/P3K3/RN3B2 b - - 8 28
black win | 4rrk1/7p/8/8/ppp1p2P/P3b1P1/3q2p1/4K3 w - - 1 42
black win | r4rk1/p1p2ppp/3b1n2/3pK3/P1q3b1/R3PP2/1P5P/1NBQ2NR w - - 3 17
black win | 6k1/1p6/4r1K1/1P1ppr2/PR2b3/2p1bp2/2p1P3/5B2 w - - 3 42
black win | 4rr2/ppp3kp/2n5/5p2/5nP1/N2b1N1K/P2P1b1P/R1BB3R w - - 3 20
black win | 4rrk1/pBp3pp/8/3pp3/Pb6/6PP/1BnPK3/RN3qNR w - - 3 19
black win | r2qk2r/ppp2ppp/8/3ppb2/3n2n1/2b1K3/PBP1P1PP/R2Q1BNR w kq - 2 10
black win | 4rrk1/p1p2ppp/p7/3pn3/4n1b1/3PP2P/RPPq4/4KBNR w K - 0 17
black win | 4rrk1/ppp3pp/8/3pp3/1b1n1P2/3P4/PP5P/R1BK1r2 w - - 0 24
black win | 3r1k2/p6p/P6P/3b4/1P1nr3/4p1RK/5p2/5B1q w - - 0 50
black win | 4rrk1/p5pp/8/R2pppN1/1q2nPb1/1p5B/3BP2P/2r1KR2 w - - 0 22
draw by threefold repitition | k7/6K1/1P6/8/2P5/8/p2p4/8 b - - 18 122
draw by threefold repitition | 6k1/8/4K2P/8/p3p3/P3p3/4P1p1/6r1 w - - 16 73
draw by threefold repitition | 4rrk1/7p/8/1p2p1pP/pP4b1/6P1/p2PKp2/1NB4R w - - 12 33
black win | r4rk1/ppp2ppp/8/3pp1N1/4n1b1/8/PP3qPP/1R2KB1R w - - 0 17
black win | r1bqk2r/ppp2ppp/8/3pp3/P1PnnP2/2b1P3/1P3KPP/R1BQ1BNR w kq - 2 9
black win | r1bqk2r/pppp1ppp/2n2n2/2b5/4pP2/5KP1/PPPPP1BP/RNBQ2NR w kq - 0 6
black win | 6k1/7p/7K/4r3/B4Nn1/Ppb5/8/B7 w - - 8 47
draw by threefold repitition | 6k1/7p/7P/5K2/4r3/3p2p1/pppp2p1/r7 b - - 17 70
black win | r1bqk2r/ppp2ppp/8/3pp1B1/3nn2P/P2P4/1P2KbP1/RN1Q1BNR w kq - 2 9
black win | 4r1k1/7p/8/p2pp3/4b1p1/1P1RK3/3P3P/1NB1q3 w - - 2 31
draw by threefold repitition | 6k1/8/8/8/K3b3/4p3/3pp1p1/8 b - - 11 68
black win | 4rrk1/p1p4p/2p5/3qpp2/1b2n3/P3Pb1P/R2P1pPR/2B1KB2 w - - 0 19
black win | r2qk2r/ppp2ppp/8/3pp1P1/Pb2n1b1/8/1PnP1P1P/RNB1KBNR w KQkq - 0 10
black win | 4r1k1/8/8/4n3/1b1pnr2/1P1p1p2/3P1P2/2q1K3 w - - 12 48
black win | 4rqk1/pp4p1/8/2ppp3/3np1b1/1P1Bb3/P1P1r1PP/R2Q1KR1 w - - 4 20
draw by threefold repitition | 4rrk1/pp3ppp/B4q2/3pp3/1b1n2b1/1P3PP1/P1nPQ1RP/1RB1K3 w - - 8 20
draw by threefold repitition | 4rrk1/ppp3pp/3q1R2/3pp3/1b4p1/P1PBnPn1/3PK3/RNBQ2N1 w - - 10 21
black win | 4rrk1/ppp4p/2n5/3pppp1/4n2P/2bP1bPN/P1P5/R3KB1R w - - 0 19
draw by threefold repitition | 6k1/3K4/8/P7/8/8/1p6/3r4 w - - 34 89
black win | 4rrk1/pp3p1p/3q4/2ppp1p1/2Pn2QP/P1b2P2/1B2PnP1/2RK1BNR w - - 4 16
black win | 4rrk1/p6p/8/3pp1P1/2q3b1/P3nBP1/3K1P2/2q3NR w - - 0 34
black win | 4rrk1/1p3p1p/3ppn2/p3p2P/1bP1q1b1/1P3np1/P1RPP3/2BQKB1R w K - 1 19
black win | r2qk2r/ppp2ppp/2n5/P1np4/1b3pbP/R2K4/1PPPP3/1NBQ1BNR w kq - 2 10
black win | r3k2r/ppp2ppp/8/3ppnN1/Nb2n1b1/3PK3/PPPB1PPP/R2Q1B1R w kq - 5 11
black win | 5k2/7r/8/6p1/6r1/8/3pp3/7K w - - 2 71
black win | r5k1/1p5p/6p1/K2p2P1/3pp3/2p1b3/R3P2P/1r6 w - - 2 40
black win | r4rk1/ppp2ppp/2n5/3pp3/1P2n1b1/6PB/RPPP1q1P/1NB2KNR w - - 0 11
black win | 4rrk1/pp3ppp/8/2ppp3/1b2n1bN/PP4Q1/2P1n1PP/R1B2NKR w - - 0 16
black win | 3rk3/p4p1p/r7/1pp5/4pP2/1KP1P3/PP1B2PP/RN1b1BNR w - - 4 20
draw by threefold repitition | 5k2/8/P6K/4n3/8/1p6/1p6/8 b - - 8 75
black win | 2r3k1/p6p/P7/8/4P1n1/2P5/8/B4q1K w - - 0 54
black win | 4r1k1/p6p/7P/2p1p1p1/P3b1B1/1p2p1P1/1Pp1P3/Kr6 w - - 0 35
black win | 4rrk1/ppp2ppp/2n5/4p3/1b2n3/Q4bPP/PPNPqPR1/R1B1K3 w Q - 2 14
black win | 4B1k1/7p/1p6/7P/3pb3/4p3/4K3/r5n1 w - - 0 55
black win | r1bqk2r/ppp2ppp/2n4B/3pp3/1b4n1/3PKN2/PPP1PPPP/RN1Q1B1R w kq - 4 7
black win | r4rk1/ppp2ppp/8/3qpn2/2p1n1b1/4K2N/P3PP1P/R1B2BR1 w - - 4 16
black win | 4rrk1/ppp2ppp/B1n5/3pp3/1b2n2q/N3Pb2/PPPP1P1K/R1B3QR w - - 0 13
