black win | 4rrk1/p5pp/3qN3/3pp2P/P1pnn3/R3K3/5pP1/2b2B1R w - - 0 26
black win | 4rrk1/7N/8/p1p4P/2Pq4/P1nnb3/4K1p1/2B5 w - - 3 31
black win | 4r1k1/p6p/p7/3p4/3pn1p1/R2b3B/6pP/4Kr2 w - - 0 30
black win | 4rrk1/p7/3q1p2/1Pp5/1bp1npbP/1P6/P1nPp1P1/RNB1KR2 w Q - 2 22
black win | 4r1k1/p6p/8/3Pp3/4nrbP/1Pb5/p3pPP1/4K3 w - - 0 29
black win | 3r2k1/p6p/3r4/1N1p4/2P1n1b1/P5PN/4p1BP/r3KR2 w - - 0 25
black win | 4rrk1/p6p/7P/1p1qp3/1R1nb3/P3p3/6p1/2r1KB1R w - - 0 31
draw by threefold repitition | 4r1k1/8/8/8/8/p7/p2p3K/8 b - - 41 86
black win | 4r1k1/p6p/8/4q3/3np2P/p1b2r2/R1p5/5qK1 w - - 0 32
black win | r4rk1/ppp2ppp/5n2/3p4/1P4b1/N3P1P1/PP3P1P/R1BqKB1R w KQ - 1 13
black win | r2qk2r/ppp2ppp/2n2n2/4p3/Pb1p2b1/3PK3/1PPBPPPP/RN1Q1BNR w kq - 0 8
black win | 4rrk1/pp3ppp/8/1Pppn2P/4n1P1/N7/RP2PqPR/2BQKB2 w - - 1 16
black win | 4rrk1/pp4pp/8/2pnqp2/1b1n3P/P2PP1PN/2P1b3/RNBK3R w - - 0 16
black win | 4rrk1/p6p/8/1p1ppp2/3nn3/7q/RPpB1p1P/3Q1K1R w - - 2 26
black win | 4rrk1/p1p4p/8/2np1pp1/4b2P/1p6/3PPPP1/q2K1BR1 w - - 1 23
draw by threefold repitition | 4r1k1/7p/7P/3qp3/3nn3/p2b4/Pppp3K/8 b - - 16 53
black win | 3rk2r/ppp3pp/2n5/4pp2/1B2n1bP/2N1P3/P2q1PPR/RQ2KBN1 w Qk - 0 12
black win | 4rrk1/ppp3pp/2nq4/3pp3/1P2n3/4b1PP/P1PPP3/1RBQ1KrR w - - 0 18
black win | 4rrk1/7p/6P1/Q3n3/3pn1b1/3pP3/1p1B4/R3K2r w - - 0 28
black win | 4r1k1/p6p/7R/1Bp1p1P1/3n2b1/P1N5/1P1pr1q1/1RB3K1 w - - 0 27
black win | 4r1k1/pp4pp/3q4/2ppp3/1b1nn1p1/NPP1B3/P5PP/1RQK1rNR w - - 0 16
black win | 4r1k1/7p/7P/3b4/3q4/8/ppK3p1/3b4 w - - 0 48
black win | r4rk1/ppp2ppp/2n5/3pp3/Pb2n1b1/2PP2P1/RP1B1q1P/1NQ1KBNR w K - 0 11
black win | 4rrk1/pp4pp/8/1Npppp2/1PBnn1bP/1P6/P2P1qP1/R1BQK2R w K - 0 16
black win | 4rrk1/pp5p/8/4p1P1/3n4/2ppP3/P1Q2P2/RNB1K2q w Q - 1 20
black win | r4rk1/ppp2ppp/3q1n2/3pp3/1bP3b1/1P2P2P/P1nP1P1R/RNB1KB2 w Q - 0 11
black win | 4rrk1/p4p1p/3q1n2/1pppp3/1RBn1pP1/4b3/P1bP3P/2BKQ1R1 w - - 0 21
black win | 3rk2r/ppp2ppp/2n3N1/3pp1Q1/1b2n1b1/P7/1PPP1qPP/RNB1KB1R w KQk - 2 12
