draw by insufficient material | B4k2/8/1K6/8/8/8/8/8 b - - 0 183
draw by 50 move rule | 8/8/5K2/8/8/4Q3/3k4/8 b - - 100 278
draw by insufficient material | 8/8/4k3/8/1K6/8/8/8 w - - 0 193
draw by insufficient material | 8/7K/2k5/8/2N5/8/8/8 w - - 0 130
black win | 4B3/2k5/8/p7/P6K/7r/6q1/8 w - - 74 237
draw by insufficient material | 7k/8/5n2/8/8/8/1N6/2K5 b - - 0 183
draw by insufficient material | 8/6k1/8/8/6K1/8/8/8 b - - 0 189
draw by 50 move rule | 8/2k5/8/8/2K5/8/8/2N2N2 w - - 100 201
draw by insufficient material | 4K3/8/7k/8/8/8/1n6/8 b - - 0 215
draw by 50 move rule | 8/k7/2p5/2P5/8/8/7K/8 b - - 100 218
draw by insufficient material | 3K4/8/8/6n1/8/8/8/1k6 b - - 0 170
draw by insufficient material | 8/6Kb/8/8/8/1k6/8/8 b - - 0 196
draw by insufficient material | 8/6k1/8/8/6K1/8/8/8 b - - 0 245
draw by 50 move rule | N7/8/8/7k/7N/8/6K1/8 b - - 100 227
black win | 4k1N1/8/3p1p2/1P3Pr1/7K/8/8/7r w - - 5 99
draw by insufficient material | 2K5/8/8/8/8/1b6/8/6k1 b - - 0 265
draw by insufficient material | 7b/8/8/6K1/3k4/8/8/8 b - - 0 213
black win | 5k2/2QR1Pnr/5b1B/7P/7N/3p2P1/3R2b1/r1K5 w - - 7 66
draw by insufficient material | 8/6k1/8/8/5KN1/1b6/8/8 b - - 0 132
draw by insufficient material | 8/3K4/k7/8/2n2B2/8/8/8 b - - 0 186
draw by insufficient material | 8/8/6k1/8/8/8/3K4/8 b - - 0 124
draw by insufficient material | 3k4/8/8/7K/8/6N1/8/2b5 w - - 0 153
draw by insufficient material | 4n3/8/8/6k1/N7/8/4K3/8 w - - 0 175
draw by threefold repitition | 8/6k1/8/p7/P7/8/1K6/8 w - - 62 179
draw by insufficient material | 4k3/8/8/3K4/8/8/8/8 b - - 0 155
draw by 50 move rule | 8/8/5q2/4k1K1/8/8/8/8 w - - 100 202
black win | b7/1qp4R/2kp1n1p/1p6/2P1pP1P/4K3/3NB3/6q1 w - - 4 52
white win | 5k1R/p7/5K2/3PP3/6b1/8/2r5/6b1 b - - 0 95
draw by insufficient material | 8/3k4/8/8/1Kn2N2/8/8/8 w - - 0 171
draw by 50 move rule | 2R5/6K1/1P6/8/8/3k4/8/8 w - - 100 221
draw by insufficient material | 8/8/8/8/2K5/8/5b2/4k3 b - - 0 204
draw by insufficient material | 8/8/8/6b1/8/8/8/1K2k3 w - - 0 177
draw by stalemate | 8/6R1/8/8/4Q3/7p/2K4k/8 b - - 7 136
draw by 50 move rule | 8/8/3k4/5n2/2b2K2/p7/8/8 w - - 100 182
draw by threefold repitition | 8/5p2/5P2/8/8/2K5/8/7k w - - 83 198
black win | 4k3/8/1B1PnpP1/4P3/b2NB2p/1pp1KP2/3q4/8 w - - 3 64
draw by threefold repitition | 8/5k2/8/8/3p4/3P4/5K2/8 b - - 18 167
