draw by 50 move rule | 8/5p2/2K2P2/8/8/n7/2k2n2/8 w - - 100 234
draw by 50 move rule | 8/8/8/6p1/2k1p1Pp/3bP2P/2r5/2b3K1 w - - 100 179
draw by insufficient material | 8/2k5/8/8/6K1/8/8/8 w - - 0 167
draw by 50 move rule | 7k/8/8/4R3/8/4K3/8/8 w - - 100 305
draw by 50 move rule | 3K4/8/7r/8/8/8/7k/8 b - - 100 240
draw by insufficient material | 4k3/8/8/8/8/6K1/1n6/8 b - - 0 190
draw by 50 move rule | Bk6/8/8/8/1K6/8/5N2/8 b - - 100 245
draw by 50 move rule | 8/6K1/k7/3N4/8/4R3/8/8 w - - 100 215
draw by 50 move rule | 8/3k4/8/8/5K2/8/4r3/8 b - - 100 233
draw by threefold repitition | 8/5k2/p7/p7/P7/8/5K2/8 b - - 39 175
draw by insufficient material | 8/8/8/8/2k5/8/8/K7 b - - 0 206
draw by insufficient material | 7k/8/8/2N5/4K3/8/8/8 w - - 0 188
black win | 2B1n2r/2p1kpp1/p2b4/1r1P1P1N/3pb3/nP6/2P4q/1RBQ1RK1 w - - 1 31
draw by insufficient material | 8/8/7k/8/8/6b1/4K3/8 b - - 0 170
white win | 5N2/8/1R1kNB2/5K2/5P2/2p4p/B7/7r b - - 3 80
white win | 8/8/8/8/r2B1kQ1/7K/8/8 b - - 18 112
draw by insufficient material | 8/8/1K6/8/8/8/8/k7 w - - 0 275
draw by insufficient material | 8/8/8/6K1/8/4B3/8/5k2 w - - 0 141
draw by insufficient material | B7/8/7k/8/8/8/8/5K2 b - - 0 195
draw by insufficient material | 8/5k2/8/8/2K5/8/8/8 b - - 0 218
draw by insufficient material | 8/8/5k2/8/8/2N5/1K6/6n1 w - - 0 153
draw by insufficient material | 8/8/3K4/n4k2/8/8/8/8 b - - 0 133
draw by 50 move rule | 8/5n2/8/8/6k1/8/1K4n1/2N5 b - - 100 205
draw by insufficient material | 8/7K/8/1k6/8/8/8/8 w - - 0 200
draw by insufficient material | 3N4/8/8/8/8/k6K/8/8 w - - 0 133
draw by threefold repitition | 8/8/P7/8/8/8/1K2k3/8 b - - 21 139
draw by insufficient material | 8/5n2/8/4K3/8/8/4k3/8 w - - 0 229
draw by insufficient material | 8/5k2/8/B7/8/8/2K5/1n6 b - - 0 184
black win | 2Br2b1/3P1k2/R6K/2P2pP1/5P1q/8/8/3R4 w - - 0 62
